date,open,high,low,close
2010-03-30,1019.677,1031.662,1017.66,1031.123
2010-03-31,1030.82,1040.76,1028.901,1039.717
2010-04-01,1040.546,1057.504,1040.546,1054.305
2010-04-02,1054.993,1059.424,1053.265,1056.489
2010-04-06,1058.98,1061.066,1051.842,1058.647
2010-04-07,1057.567,1068.128,1055.002,1068.128
2010-04-08,1066.868,1076.128,1063.237,1070.295
2010-04-09,1070.228,1088.897,1070.228,1088.897
2010-04-12,1092.327,1104.678,1092.327,1104.344
2010-04-13,1105.373,1107.296,1051.795,1078.142
2010-04-14,1075.19,1087.304,1070.795,1087.125
2010-04-15,1087.482,1089.935,1062.052,1070.241
2010-04-16,1066.106,1081.242,1059.964,1074.779
2010-04-19,1066.105,1074.252,1039.25,1039.25
2010-04-20,1037.552,1052.637,1023.037,1052.637
2010-04-21,1053.679,1089.14,1053.679,1088.059
2010-04-22,1087.148,1106.321,1081.626,1096.975
2010-04-23,1095.363,1105.526,1082.71,1087.027
2010-04-26,1087.327,1096.294,1080.775,1089.873
2010-04-27,1085.692,1085.692,1039.363,1059.544
2010-04-28,1047.567,1067.18,1041.012,1054.914
2010-04-29,1058.08,1064.136,1021.177,1021.353
2010-04-30,1015.882,1017.586,972.86,991.129
2010-05-04,972.785,999.989,965.661,991.299
2010-05-05,981.467,1023.178,978.38,1023.178
2010-05-06,1021.667,1027.954,995.652,995.652
2010-05-07,972.064,996.781,964.585,977.33
2010-05-10,975.26,985.74,932.096,952.746
2010-05-11,970.34,974.756,926.855,929.084
2010-05-12,921.055,931.064,893.751,905.83
2010-05-13,905.902,933.754,893.85,933.754
2010-05-14,928.556,947.609,922.826,941.032
2010-05-17,929.667,930.833,890.988,890.988
2010-05-18,884.329,904.715,869.482,900.986
2010-05-19,896.092,920.718,891.237,909.425
2010-05-20,902.252,923.332,896.216,898.904
2010-05-21,875.042,923.587,869.656,923.587
2010-05-24,930.141,963.595,930.141,961.513
2010-05-25,956.712,963.823,943.741,952.791
2010-05-26,949.888,958.897,943.861,950.687
2010-05-27,949.127,971.076,937.959,968.738
2010-05-28,976.176,979.843,965.6,972.255
2010-05-31,968.486,979.688,947.465,947.465
2010-06-01,937.67,946.634,911.435,931.431
2010-06-02,927.167,942.896,916.647,942.896
2010-06-03,947.525,960.955,940.471,940.471
2010-06-04,934.725,952.834,931.887,952.75
2010-06-07,934.683,960.52,931.035,958.083
2010-06-08,957.993,971.781,956.253,970.468
2010-06-09,974.06,992.727,974.06,992.727
2010-06-10,989.512,1005.546,986.596,998.419
2010-06-11,1001.704,1004.495,989.537,990.225
2010-06-17,995.326,999.138,971.442,971.527
2010-06-18,966.946,966.946,923.45,929.642
2010-06-21,925.724,952.206,911.971,952.206
2010-06-22,951.122,964.718,948.696,960.625
2010-06-23,956.286,970.154,948.371,961.716
2010-06-24,960.976,967.404,955.969,962.02
2010-06-25,957.959,958.381,934.482,943.387
