date,open,high,low,close
2010-06-09,1071.154,1102.409,1069.733,1078.127
2010-06-10,1078.074,1119.52,1076.679,1117.891
2010-06-11,1122.962,1128.749,1119.223,1122.717
2010-06-17,1126.663,1130.219,1065.343,1065.343
2010-06-18,1052.565,1053.636,993.644,1000.75
2010-06-21,992.614,1043.847,977.061,1041.492
2010-06-22,1037.726,1058.066,1034.332,1035.681
2010-06-23,1027.545,1057.048,1024.415,1048.032
2010-06-24,1047.453,1060.457,1042.23,1051.298
2010-06-25,1046.933,1046.933,999.852,1016.983
2010-06-28,1009.918,1015.112,984.894,988.508
2010-06-29,986.251,992.911,913.168,913.938
2010-06-30,898.91,922.445,881.967,919.948
2010-07-01,915.025,921.849,882.798,882.798
2010-07-02,879.556,885.948,833.196,873.722
2010-07-05,857.96,871.463,843.313,862.862
2010-07-06,859.85,899.064,858.388,894.334
2010-07-07,897.149,909.175,890.95,909.175
2010-07-08,912.625,914.926,887.638,906.133
2010-07-09,904.227,937.287,897.611,932.9
2010-07-12,932.288,941.833,924.805,930.926
2010-07-13,925.696,937.401,907.037,931.833
2010-07-14,930.501,938.69,916.815,923.108
2010-07-15,920.79,931.308,893.279,893.279
2010-07-16,885.835,895.832,869.776,893.072
2010-07-19,882.421,910.966,878.827,908.837
2010-07-20,910.332,938.358,910.332,937.829
2010-07-21,940.912,959.869,938.973,942.067
2010-07-22,939.032,951.033,932.828,951.033
2010-07-23,952.665,965.58,948.948,961.421
2010-07-26,963.595,967.571,955.587,966.992
2010-07-27,964.379,968.879,956.56,958.798
2010-07-28,956.016,973.377,955.349,973.377
2010-07-29,975.141,982.866,966.444,976.208
2010-07-30,972.506,972.506,956.747,969.27
2010-08-02,969.29,995.091,969.29,995.091
2010-08-03,996.058,997.127,976.491,976.491
2010-08-04,972.249,978.862,956.759,978.862
2010-08-05,981.12,998.967,979.181,988.208
2010-08-06,988.824,1012.267,986.485,1012.267
2010-08-09,1014.123,1033.234,1014.123,1033.234
2010-08-10,1032.873,1035.229,994.854,994.854
2010-08-11,992.138,1007.321,991.8,1005.508
2010-08-12,994.914,1008.45,988.834,992.637
2010-08-13,993.486,1008.394,987.478,1008.079
2010-08-16,1008.371,1031.946,1005.923,1031.11
2010-08-17,1031.969,1037.72,1023.967,1034.477
2010-08-18,1034.603,1036.509,1019.379,1027.612
2010-08-19,1027.873,1034.144,1022.589,1026.415
2010-08-20,1022.343,1023.334,994.422,996.807
2010-08-23,995.801,1002.051,992.378,996.476
2010-08-24,994.437,1008.633,988.08,1005.856
2010-08-25,1001.136,1003.198,977.401,977.725
2010-08-26,979.447,985.722,973.845,981.48
