real,prediction
3288.4055,3277.4489639906883
3307.1656,3320.3041317994594
3326.6992,3318.8174131745695
3310.2389,3357.3727708693145
3291.3819,3320.3368368837832
3291.112,3295.2997321220037
3269.8821,3286.910877992928
3279.2517,3268.464150547266
3290.6399,3305.293860806644
3280.9521,3291.2046316098567
3263.4803,3298.196857508361
3152.7608,3305.8998133412
3133.7218,3175.0832613563534
3166.6488,3107.341189913809
3122.2895,3202.017261008918
3160.5306,3149.6505159217118
3168.8966,3187.1764205223917
3163.179,3164.304059235513
3136.6332,3179.444393503487
3131.1114,3181.772359575152
3138.2936,3152.579740742683
3190.3216,3117.462656449914
3208.0818,3203.5716609888673
3180.1583,3236.0921735637185
3159.0521,3170.3086218699214
3110.6489,3156.924520347655
3066.7967,3129.078866469562
3091.3987,3075.32806038326
3117.3759999999997,3121.944010064423
3071.5425,3156.1124954993725
3068.012,3089.4690726302265
3128.9271,3070.0165124291775
3117.9739,3133.5806607617733
3075.0301,3136.0494403909443
3082.2316,3088.157538183868
3081.1773,3066.4979904406664
3100.8586,3085.5562726806997
3091.0334,3115.9194609895944
3136.6448,3099.5985640249846
3161.4976,3152.7154062776563
3159.1502,3194.9113243774173
3174.4127,3165.4897699546814
3163.2632,3199.746377422392
3174.032,3180.165570895314
3192.1183,3218.8499319782254
3169.5652,3199.9884858938453
3154.2825,3168.6648885577915
3193.3034,3175.2687415799496
3213.8404,3245.9392807813283
3214.3497,3235.5959950390456
3168.9642,3217.5250732382533
3154.6506,3173.7573427293896
3141.3032,3170.2630467292665
3135.0821,3142.0947329683304
3120.4605,3157.8688796575066
3041.4434,3124.619770481884
3095.4737,3063.478069575667
3075.1372,3120.728168272197
3091.1909,3090.9246002950667
3114.2055,3100.613481526017
3115.1803,3119.15892987436
3109.4988,3106.213318741917
3067.1478,3108.708595545888
3052.7831,3088.365124621868
3079.8018,3079.204672762632
3049.7965,3088.3250003286003
3044.1597,3044.2747342301604
3021.9008,3068.2640649941563
2907.8221,3042.6084404663443
2915.7314,2919.3702318865658
2875.8099,2952.2904732698203
2889.7603,2895.2452355875967
2859.3364,2893.737470635295
2844.5081,2863.2352857180235
2813.1775,2892.2181983385085
2786.8966,2825.170201463282
2847.4181,2779.6463896211385
2775.5570000000002,2851.5937898229954
2786.8878,2781.0754201111795
2759.1259999999997,2793.354967975378
2733.8819,2739.359933643639
2747.2285,2725.635154159665
2815.1095,2757.5459288892744
2827.6252,2799.8019577227233
2777.7711,2825.283003721714
2837.6586,2771.4112191058994
2831.1837,2834.206192307174
2814.0418,2821.0585969965455
2798.1259,2813.9491778792144
2787.257,2808.4700163679718
2772.5454,2806.7417949213386
2829.2712,2780.6726630542275
2859.5424,2833.834474797845
2905.5618,2865.57551619631
2903.6467,2918.9262906493545
2882.2254,2931.614046417892
2873.5938,2888.991296685219
2869.0495,2899.589560955286
2876.4009,2879.09649455297
2824.5337,2864.7936224210857
