day,realdata,predict
50.0,3168.9642,3151.434608554065
49.0,3154.6506,3127.788226938188
48.0,3141.3032,3148.0464526655674
47.0,3135.0821,3118.717411235988
46.0,3120.4605,3175.234825196206
45.0,3041.4434,3099.716211481094
44.0,3095.4737,3146.2391939318177
43.0,3075.1372,3114.0675355897542
42.0,3091.1909,3109.7858949670194
41.0,3114.2055,3139.7726719813345
40.0,3115.1803,3157.7042943488955
39.0,3109.4988,3142.655413187086
38.0,3067.1478,3177.2056093515753
37.0,3052.7831,3109.2818429961203
36.0,3079.8018,3157.250662716329
35.0,3049.7965,3162.498314626038
34.0,3044.1597,3089.5926251710057
33.0,3021.9008,3142.7320278753637
32.0,2907.8221,3122.2798428284523
31.0,2915.7314,3046.467034766853
30.0,2875.8099,3069.119242384255
29.0,2889.7603,3044.6481172761914
28.0,2859.3364,2978.7031599347592
27.0,2844.5081,2993.647717934072
26.0,2813.1775,3039.6289467194674
25.0,2786.8966,3019.101963933408
24.0,2847.4181,3020.6854350994226
23.0,2775.5570000000002,2982.5658423708082
22.0,2786.8878,3002.206153981864
21.0,2759.1259999999997,2919.0586251109244
20.0,2733.8819,2914.967764146745
19.0,2747.2285,2913.7042274398805
18.0,2815.1095,2911.360817300618
17.0,2827.6252,2904.2088512911796
16.0,2777.7711,2866.0015907670854
15.0,2837.6586,2826.5136839318275
14.0,2831.1837,2855.782311802864
13.0,2814.0418,2861.8047411037087
12.0,2798.1259,2831.4492748286125
11.0,2787.257,2819.854565373659
10.0,2772.5454,2825.0227257589695
9.0,2829.2712,2823.595815042913
8.0,2859.5424,2784.74217486614
7.0,2905.5618,2813.34428523165
6.0,2903.6467,2818.546816237986
5.0,2882.2254,2837.9230645756124
4.0,2873.5938,2848.433812462628
3.0,2869.0495,2773.191829252422
2.0,2876.4009,2805.8142423909308
1.0,2824.5337,2840.798689397275
