day,realdata,predict
50.0,3168.9642,3225.5109091148547
49.0,3154.6506,3174.9780768949854
48.0,3141.3032,3160.5434426609177
47.0,3135.0821,3145.2929568590703
46.0,3120.4605,3142.316873969246
45.0,3041.4434,3124.1389996037765
44.0,3095.4737,3040.6666528648148
43.0,3075.1372,3096.407539847892
42.0,3091.1909,3081.091048209612
41.0,3114.2055,3094.101740911697
40.0,3115.1803,3120.519897604426
39.0,3109.4988,3118.5377204367387
38.0,3067.1478,3111.9578684566914
37.0,3052.7831,3068.0680013401648
36.0,3079.8018,3057.9452115448407
35.0,3049.7965,3081.5435185575147
34.0,3044.1597,3054.4714782966553
33.0,3021.9008,3045.4298061646878
32.0,2907.8221,3022.9151626927896
31.0,2915.7314,2904.162271470669
30.0,2875.8099,2916.121804743304
29.0,2889.7603,2870.410194449591
28.0,2859.3364,2889.634242765439
27.0,2844.5081,2854.869890488722
26.0,2813.1775,2838.713524443853
25.0,2786.8966,2812.717640141725
24.0,2847.4181,2781.9141146690395
23.0,2775.5570000000002,2850.1130201634787
22.0,2786.8878,2775.889830889312
21.0,2759.1259999999997,2787.421962810393
20.0,2733.8819,2760.401010897319
19.0,2747.2285,2729.4297544046794
18.0,2815.1095,2748.8610691465597
17.0,2827.6252,2819.2124734388176
16.0,2777.7711,2832.1934421878964
15.0,2837.6586,2780.7921009006973
14.0,2831.1837,2843.3796312541153
13.0,2814.0418,2835.6060650252903
12.0,2798.1259,2819.238081898858
11.0,2787.257,2801.7294651749266
10.0,2772.5454,2791.841766821503
9.0,2829.2712,2779.9355400585678
8.0,2859.5424,2841.4439875957223
7.0,2905.5618,2867.631957586549
6.0,2903.6467,2916.610381531231
5.0,2882.2254,2914.156369498901
4.0,2873.5938,2889.545173209677
3.0,2869.0495,2885.84184807561
2.0,2876.4009,2878.559407576848
1.0,2824.5337,2885.2895236241
