prediction,real
3093.6874850965846,3090.2289
3098.812330440229,3112.9642
3126.3997481869874,3104.4415
3105.8373856698804,3090.139
3087.047888325395,3090.6309
3092.8757537443876,3075.6756
3076.544527152036,3061.947
3058.9410599154935,3064.0759
3065.5863011616148,3107.8311
3122.8809997898916,3110.0587
3119.937678249207,3117.1778
3127.0817367347927,3102.6232
3098.5911532611076,3105.54
3110.7122538504445,3091.6561
3091.5729361617678,3102.1259999999997
3105.511719250236,3140.3249
3155.044019980602,3150.3336
3161.7882483960952,3158.4004
3169.8953087730238,3139.8766
3142.6625381854597,3153.7429
3156.449142964152,3130.6740000000004
3122.477446771161,3132.4863
3133.371661092194,3123.1662
3124.2155812887913,3144.3739
3153.191774509237,3140.0136
3143.3677945640325,3156.2118
3165.8394297289924,3147.4532
3149.6511416672943,3157.873
3165.9181717962874,3185.4439
3198.1697778018774,3191.1969
3198.39116904502,3173.2014
3173.4956608544685,3188.0625
3195.377894825129,3192.4269
3197.9843745045005,3195.9116
3201.085308216431,3182.8039
3180.5677285640427,3207.1342
3217.5304495423625,3212.4440000000004
3219.207249945681,3217.9567
3224.8164439391435,3212.6319
3214.249078258999,3203.0375
3200.4534367732226,3197.5439
3199.43022933127,3218.1632
3226.000393435337,3222.4168
3230.1769584228327,3176.4648
3165.95089793559,3187.5672
3189.5625652523586,3230.9762
3250.5770389162913,3244.8647
3258.5775506412656,3237.9817
3245.7788904192403,3250.5989
3257.409874349657,3243.6894
3243.365437142367,3247.6748
3252.159719857358,3249.7814
3255.083386409379,3253.2404
3259.286335343776,3273.0283
3282.597047863749,3292.6383
3303.1969915570253,3285.0568
3291.02363957698,3272.9286
3275.206577178909,3262.0809
3260.6461865929627,3279.4566
3286.277730838807,3281.8728
3287.705586292105,3275.573
3274.0482628049126,3261.7494
3261.2378608414188,3208.5413
3184.138563944557,3237.3602
3244.394421267403,3251.2617
3259.191419293287,3246.4512
3249.8509098435698,3268.4298
3279.8552673803533,3268.7243
3275.6211564531754,3286.9055
3298.751464720333,3290.2257
3298.5312219850443,3287.7049
3290.148297097266,3271.5117
3266.9002033450174,3331.5221
3349.579214350569,3362.6514
3383.610263464181,3365.2261
3373.348864793519,3363.6266
3369.9296934803056,3360.8103
3362.9854834126227,3367.1194
3370.8788266698357,3379.583
3388.5903903784892,3384.317
3390.3778348566207,3385.3888
3393.967008217913,3365.4974
