test,prediction
3246.933349609375,3261.772216796875
3230.028076171875,3276.8623046875
3218.311767578125,3223.9599609375
3233.86572265625,3265.18603515625
3242.406494140625,3272.014892578125
3240.66455078125,3292.032958984375
3216.745849609375,3272.7177734375
3212.760009765625,3282.02587890625
3237.0244140625,3248.021240234375
3239.327880859375,3305.173583984375
3241.759765625,3242.63427734375
3268.935302734375,3218.77978515625
3237.447265625,3256.837890625
3250.808349609375,3279.382080078125
3261.61083984375,3325.718505859375
3245.2197265625,3265.094482421875
3248.549560546875,3299.357421875
3269.445068359375,3271.965576171875
3266.955078125,3272.98681640625
3252.94775390625,3273.181396484375
3241.314453125,3271.34912109375
3210.23681640625,3244.374267578125
3222.51416015625,3206.4384765625
3270.305419921875,3231.58935546875
3281.004638671875,3279.102294921875
3286.615966796875,3291.78857421875
3269.392578125,3296.706298828125
3288.965576171875,3308.982666015625
3273.830078125,3303.512939453125
3275.960205078125,3287.45849609375
3246.066650390625,3263.580078125
3222.167236328125,3318.830810546875
3196.71337890625,3295.02734375
3170.686767578125,3242.943115234375
3172.100341796875,3207.04541015625
3173.151123046875,3259.98828125
3129.53125,3224.371826171875
3134.5673828125,3196.973388671875
3140.84716796875,3186.21875
3152.186767578125,3191.147705078125
3154.658447265625,3154.879638671875
3143.712158203125,3137.27490234375
3135.345947265625,3155.677490234375
3127.36865234375,3149.52783203125
3103.037841796875,3169.814208984375
3078.613037109375,3160.072998046875
3080.52685546875,3108.977783203125
3052.784912109375,3142.680419921875
3061.500244140625,3122.30712890625
3083.51318359375,3110.291259765625
3090.228759765625,3093.265625
3112.964111328125,3083.613525390625
3104.44140625,3102.29052734375
3090.13916015625,3087.26904296875
3090.630859375,3074.177001953125
3075.675537109375,3050.72607421875
3061.947021484375,3075.708251953125
3064.075927734375,3089.784423828125
3107.8310546875,3058.016845703125
3110.058837890625,3106.154296875
3117.177734375,3091.714599609375
3102.623291015625,3110.44189453125
3105.5400390625,3061.62646484375
3091.656005859375,3122.5869140625
3102.1259765625,3112.510498046875
3140.324951171875,3093.393798828125
3150.33349609375,3065.93359375
3158.400390625,3098.474853515625
3139.87646484375,3197.667236328125
3153.742919921875,3142.1416015625
3130.674072265625,3159.93017578125
3132.486328125,3137.132568359375
3123.166259765625,3139.047119140625
3144.3740234375,3139.798095703125
