test,prediction
3230.028076171875,3314.38134765625
3218.311767578125,3338.145263671875
3233.86572265625,3331.0546875
3242.406494140625,3323.132080078125
3240.66455078125,3274.134765625
3216.745849609375,3314.884033203125
3212.760009765625,3306.31591796875
3237.0244140625,3290.497314453125
3239.327880859375,3313.639404296875
3241.759765625,3320.432373046875
3268.935302734375,3278.460693359375
3237.447265625,3309.85888671875
3250.808349609375,3288.72998046875
3261.61083984375,3314.927001953125
3245.2197265625,3335.219970703125
3248.549560546875,3304.261962890625
3269.445068359375,3350.32470703125
3266.955078125,3321.915283203125
3252.94775390625,3340.9208984375
3241.314453125,3342.99072265625
3210.23681640625,3337.620849609375
3222.51416015625,3323.29150390625
3270.305419921875,3331.489990234375
3281.004638671875,3294.1708984375
3286.615966796875,3352.661865234375
3269.392578125,3318.338134765625
3288.965576171875,3340.669677734375
3273.830078125,3334.1162109375
3275.960205078125,3334.618896484375
3246.066650390625,3324.301025390625
3222.167236328125,3321.863525390625
3196.71337890625,3301.79150390625
3170.686767578125,3274.996826171875
3172.100341796875,3294.389892578125
3173.151123046875,3284.1533203125
3129.53125,3252.481689453125
3134.5673828125,3221.632568359375
3140.84716796875,3203.953369140625
3152.186767578125,3203.012451171875
3154.658447265625,3198.622314453125
3143.712158203125,3184.02783203125
3135.345947265625,3181.110595703125
3127.36865234375,3182.859130859375
3103.037841796875,3146.261474609375
3078.613037109375,3149.0224609375
3080.52685546875,3149.635498046875
3052.784912109375,3127.100830078125
3061.500244140625,3202.07666015625
3083.51318359375,3098.433349609375
3090.228759765625,3123.993408203125
3112.964111328125,3105.060302734375
3104.44140625,3069.8193359375
3090.13916015625,3100.1201171875
3090.630859375,3114.858154296875
3075.675537109375,3094.6767578125
3061.947021484375,3076.78369140625
3064.075927734375,3086.72314453125
3107.8310546875,3098.50537109375
3110.058837890625,3084.777099609375
3117.177734375,3105.5322265625
3102.623291015625,3098.91064453125
3105.5400390625,3128.6337890625
3091.656005859375,3132.364990234375
3102.1259765625,3161.6962890625
3140.324951171875,3152.914794921875
3150.33349609375,3141.07080078125
3158.400390625,3170.303466796875
3139.87646484375,3175.2109375
3153.742919921875,3149.826171875
3130.674072265625,3131.818603515625
3132.486328125,3180.6708984375
3123.166259765625,3146.716552734375
3144.3740234375,3146.907958984375
3140.013671875,3154.77294921875
3156.2119140625,3178.00927734375
3147.453125,3165.284912109375
3157.873046875,3181.02783203125
3185.44384765625,3173.430908203125
3191.19677734375,3192.441650390625
3173.201416015625,3193.1220703125
3188.0625,3174.8134765625
3192.427001953125,3149.93017578125
3195.91162109375,3227.779541015625
3182.803955078125,3189.213623046875
3207.13427734375,3167.26513671875
3212.444091796875,3185.7861328125
3217.956787109375,3190.6181640625
3212.6318359375,3223.803955078125
3203.03759765625,3227.837646484375
3197.5439453125,3227.628173828125
3218.1630859375,3281.13671875
3222.416748046875,3199.85400390625
3176.46484375,3238.03173828125
3187.567138671875,3199.50146484375
3230.976318359375,3236.0595703125
3244.86474609375,3197.094970703125
3237.981689453125,3257.203125
3250.598876953125,3282.697998046875
3243.689453125,3205.428955078125
3247.6748046875,3266.533203125
3249.78125,3258.77392578125
3253.240478515625,3210.17431640625
3273.0283203125,3237.26220703125
3292.638427734375,3225.044921875
3285.056884765625,3269.857666015625
3272.928466796875,3244.032958984375
3262.080810546875,3221.4013671875
3279.45654296875,3270.84765625
3281.872802734375,3242.825439453125
3275.572998046875,3292.708251953125
3261.74951171875,3284.4453125
3208.541259765625,3240.141357421875
3237.3603515625,3223.0732421875
3251.26171875,3266.55712890625
3246.451171875,3233.03564453125
3268.4296875,3256.954833984375
3268.724365234375,3205.979736328125
3286.905517578125,3241.734130859375
3290.225830078125,3252.1357421875
3287.704833984375,3250.725830078125
3271.51171875,3204.742431640625
3331.522216796875,3239.187255859375
3362.6513671875,3288.177001953125
3365.22607421875,3296.787353515625
3363.62646484375,3284.806884765625
3360.810302734375,3299.165283203125
3367.119384765625,3294.856201171875
3379.5830078125,3304.603271484375
3384.317138671875,3279.68310546875
3385.388671875,3358.167724609375
3365.497314453125,3328.456298828125
3365.24267578125,3336.110595703125
3376.418701171875,3296.81494140625
3379.488037109375,3341.806396484375
3384.14697265625,3318.81982421875
3371.42578125,3331.103271484375
3353.619140625,3332.386962890625
3362.858642578125,3374.79150390625
3356.8447265625,3313.526123046875
3365.995849609375,3323.334228515625
3357.812255859375,3371.010009765625
3352.529296875,3325.805419921875
3341.548583984375,3323.547607421875
3343.58251953125,3281.507568359375
3345.271728515625,3326.9013671875
3339.64208984375,3338.879638671875
3348.943115234375,3368.84326171875
3374.378173828125,3334.926025390625
3382.988037109375,3383.65087890625
3388.28369140625,3327.7783203125
3386.099853515625,3319.4296875
3390.523193359375,3335.265380859375
3378.470458984375,3386.76220703125
3372.040771484375,3333.662353515625
3381.793701171875,3363.262451171875
3370.172119140625,3357.2998046875
3378.64794921875,3371.995361328125
3380.698974609375,3362.527587890625
3388.247802734375,3383.9169921875
3396.8974609375,3371.090576171875
3407.567138671875,3319.014404296875
3416.8125,3396.28564453125
3390.337158203125,3353.754150390625
3393.341796875,3386.7265625
3395.91259765625,3364.797607421875
3383.3095703125,3389.811767578125
3371.744140625,3414.62255859375
3388.174072265625,3391.330810546875
3413.57470703125,3379.21630859375
3415.460205078125,3385.09033203125
3427.79443359375,3345.895751953125
3432.673095703125,3361.9697265625
3447.835693359375,3426.881103515625
3429.548095703125,3395.018310546875
3402.524658203125,3382.784912109375
3399.250244140625,3422.480712890625
3382.907470703125,3375.956787109375
3392.39892578125,3380.348388671875
3410.49755859375,3396.88720703125
3430.46435546875,3379.3955078125
3351.918212890625,3362.9765625
3353.820556640625,3360.510986328125
3322.229736328125,3375.802978515625
3333.656982421875,3361.27978515625
3337.862060546875,3374.78857421875
3317.1884765625,3296.546875
3317.617431640625,3281.26708984375
3309.618408203125,3371.318603515625
3303.675048828125,3337.925537109375
3293.96484375,3280.98193359375
3272.05419921875,3351.55322265625
3289.992431640625,3292.1044921875
3322.195556640625,3299.244384765625
3280.813720703125,3268.271728515625
3303.037353515625,3257.3818359375
3292.4384765625,3228.53125
3266.13720703125,3261.600341796875
3267.92236328125,3262.6171875
3296.538330078125,3265.65283203125
3287.605712890625,3236.1728515625
3300.059326171875,3233.140869140625
3297.06298828125,3248.430908203125
3280.4609375,3261.71142578125
3306.124755859375,3225.998291015625
3275.78271484375,3264.3974609375
3296.384765625,3282.59814453125
3307.172119140625,3244.150146484375
3348.325927734375,3251.7333984375
3369.1083984375,3266.843994140625
3385.710205078125,3272.574951171875
3391.75,3267.689208984375
3409.4794921875,3330.337646484375
3413.899658203125,3314.371826171875
3421.834228515625,3317.38916015625
3425.3447265625,3342.819091796875
3428.940673828125,3354.830078125
3410.48828125,3395.931640625
3436.593994140625,3384.463623046875
3444.67138671875,3381.638916015625
3474.754150390625,3404.416015625
3487.864013671875,3405.664306640625
3501.3623046875,3454.568359375
3546.504638671875,3412.48095703125
3559.465087890625,3458.62060546875
3548.30712890625,3457.365966796875
3558.12890625,3477.154296875
3523.000732421875,3507.828125
3488.009033203125,3484.265869140625
3480.83349609375,3550.51025390625
3446.979736328125,3519.360107421875
3462.080810546875,3505.151611328125
3487.4970703125,3465.509521484375
3370.65185546875,3447.92529296875
3309.259765625,3428.011474609375
3262.050537109375,3392.13720703125
3129.850830078125,3369.23095703125
3154.125244140625,3334.4853515625
3184.958740234375,3209.32958984375
3199.158935546875,3210.48291015625
3268.558837890625,3146.931884765625
3289.024169921875,3150.34716796875
3329.57373046875,3176.181396484375
3292.06787109375,3157.59619140625
3259.407958984375,3174.559326171875
3273.7548828125,3223.380615234375
3254.5283203125,3214.533935546875
3256.92626953125,3227.310546875
3289.641845703125,3192.6015625
3271.66845703125,3260.95751953125
3288.405517578125,3238.90966796875
3307.16552734375,3214.45849609375
3326.69921875,3211.24267578125
3310.23876953125,3198.8876953125
3291.3818359375,3247.6796875
3291.112060546875,3242.75927734375
3269.882080078125,3274.5986328125
3279.251708984375,3288.201904296875
3290.639892578125,3249.137451171875
3280.9521484375,3195.262451171875
3263.480224609375,3226.291748046875
3152.7607421875,3277.722412109375
3133.7216796875,3205.161865234375
3166.64892578125,3155.318359375
3122.28955078125,3139.0068359375
3160.530517578125,3227.034912109375
3168.896484375,3145.80224609375
3163.178955078125,3128.378173828125
3136.633056640625,3128.390625
3131.111328125,3119.890625
3138.293701171875,3099.60986328125
3190.321533203125,3070.864501953125
