test,prediction
3246.933349609375,3250.823974609375
3230.028076171875,3247.984619140625
3218.311767578125,3232.636962890625
3233.86572265625,3178.7978515625
3242.406494140625,3225.57861328125
3240.66455078125,3273.85302734375
3216.745849609375,3313.83447265625
3212.760009765625,3218.860107421875
3237.0244140625,3266.670166015625
3239.327880859375,3233.985595703125
3241.759765625,3238.555908203125
3268.935302734375,3229.248291015625
3237.447265625,3263.34814453125
3250.808349609375,3234.896728515625
3261.61083984375,3310.6005859375
3245.2197265625,3266.742431640625
3248.549560546875,3335.429931640625
3269.445068359375,3294.944091796875
3266.955078125,3301.595947265625
3252.94775390625,3317.748291015625
3241.314453125,3247.939208984375
3210.23681640625,3260.898193359375
3222.51416015625,3242.552734375
3270.305419921875,3236.16162109375
3281.004638671875,3268.128173828125
3286.615966796875,3275.39794921875
3269.392578125,3302.223876953125
3288.965576171875,3289.6953125
3273.830078125,3297.02490234375
3275.960205078125,3291.78466796875
3246.066650390625,3290.316162109375
3222.167236328125,3314.686279296875
3196.71337890625,3296.747802734375
3170.686767578125,3287.375732421875
3172.100341796875,3282.662353515625
3173.151123046875,3239.099853515625
3129.53125,3223.287109375
3134.5673828125,3172.19482421875
3140.84716796875,3213.3984375
3152.186767578125,3197.83935546875
3154.658447265625,3156.489013671875
3143.712158203125,3162.125
3135.345947265625,3169.322509765625
3127.36865234375,3148.337646484375
3103.037841796875,3192.416259765625
3078.613037109375,3114.16064453125
3080.52685546875,3129.374755859375
3052.784912109375,3155.962158203125
3061.500244140625,3102.7763671875
3083.51318359375,3123.445068359375
3090.228759765625,3098.529296875
3112.964111328125,3067.419189453125
3104.44140625,3105.42626953125
3090.13916015625,3043.79443359375
3090.630859375,3076.0712890625
3075.675537109375,3066.190185546875
3061.947021484375,3096.987548828125
3064.075927734375,3028.45458984375
3107.8310546875,3120.833984375
3110.058837890625,3032.472412109375
3117.177734375,3046.247802734375
3102.623291015625,3103.794677734375
3105.5400390625,3098.119873046875
3091.656005859375,3103.812744140625
3102.1259765625,3087.775146484375
3140.324951171875,3071.96728515625
3150.33349609375,3055.340087890625
3158.400390625,3142.053955078125
3139.87646484375,3139.525146484375
3153.742919921875,3084.30322265625
3130.674072265625,3147.822021484375
3132.486328125,3122.47705078125
3123.166259765625,3132.418701171875
3144.3740234375,3136.548828125
3140.013671875,3122.8056640625
3156.2119140625,3121.988037109375
3147.453125,3162.915283203125
3157.873046875,3164.016845703125
3185.44384765625,3142.624267578125
3191.19677734375,3160.5126953125
3173.201416015625,3130.677734375
3188.0625,3187.584716796875
3192.427001953125,3169.435302734375
3195.91162109375,3151.037353515625
3182.803955078125,3173.60791015625
3207.13427734375,3158.039794921875
3212.444091796875,3187.50830078125
3217.956787109375,3208.44384765625
3212.6318359375,3215.712158203125
3203.03759765625,3209.943359375
3197.5439453125,3247.86474609375
3218.1630859375,3219.648681640625
3222.416748046875,3242.397216796875
3176.46484375,3193.84375
3187.567138671875,3245.783935546875
3230.976318359375,3237.85205078125
3244.86474609375,3242.8076171875
3237.981689453125,3259.004150390625
3250.598876953125,3217.5791015625
3243.689453125,3233.56201171875
3247.6748046875,3259.2763671875
3249.78125,3260.70361328125
3253.240478515625,3243.04345703125
3273.0283203125,3241.410888671875
3292.638427734375,3276.775634765625
3285.056884765625,3277.745361328125
3272.928466796875,3262.697265625
3262.080810546875,3280.993408203125
3279.45654296875,3315.08935546875
3281.872802734375,3302.98779296875
3275.572998046875,3299.717041015625
3261.74951171875,3282.50146484375
3208.541259765625,3275.715576171875
3237.3603515625,3251.1962890625
3251.26171875,3277.6875
3246.451171875,3281.22412109375
3268.4296875,3256.050048828125
3268.724365234375,3270.160400390625
3286.905517578125,3293.601806640625
3290.225830078125,3295.817138671875
3287.704833984375,3285.09375
3271.51171875,3270.020263671875
