test,prediction
3246.933349609375,3233.906494140625
3230.028076171875,3230.9169921875
3218.311767578125,3207.787353515625
3233.86572265625,3246.753662109375
3242.406494140625,3238.744873046875
3240.66455078125,3243.47216796875
3216.745849609375,3246.48828125
3212.760009765625,3255.45263671875
3237.0244140625,3213.318359375
3239.327880859375,3196.739013671875
3241.759765625,3246.42041015625
3268.935302734375,3176.6181640625
3237.447265625,3216.340576171875
3250.808349609375,3233.554931640625
3261.61083984375,3249.514892578125
3245.2197265625,3294.299072265625
3248.549560546875,3289.9912109375
3269.445068359375,3222.58642578125
3266.955078125,3263.107421875
3252.94775390625,3263.186767578125
3241.314453125,3243.71044921875
3210.23681640625,3254.7255859375
3222.51416015625,3181.885498046875
3270.305419921875,3183.726806640625
3281.004638671875,3257.912109375
3286.615966796875,3237.524169921875
3269.392578125,3237.259765625
3288.965576171875,3299.5185546875
3273.830078125,3276.096435546875
3275.960205078125,3266.96728515625
3246.066650390625,3309.383544921875
3222.167236328125,3274.956298828125
3196.71337890625,3179.112060546875
3170.686767578125,3198.87939453125
3172.100341796875,3176.538818359375
3173.151123046875,3060.7421875
3129.53125,3162.459716796875
3134.5673828125,3114.460693359375
3140.84716796875,3079.059326171875
3152.186767578125,3132.86328125
3154.658447265625,3101.508544921875
3143.712158203125,3104.4033203125
3135.345947265625,3174.141357421875
3127.36865234375,3070.522216796875
3103.037841796875,3120.087646484375
3078.613037109375,3086.242431640625
3080.52685546875,3049.7880859375
3052.784912109375,3059.583984375
3061.500244140625,3036.677490234375
3083.51318359375,3046.55615234375
3090.228759765625,3040.43896484375
3112.964111328125,3089.544189453125
3104.44140625,3063.170654296875
3090.13916015625,3088.721435546875
3090.630859375,3092.165283203125
3075.675537109375,3075.666015625
3061.947021484375,3071.974365234375
3064.075927734375,3039.237060546875
3107.8310546875,2999.51904296875
3110.058837890625,3071.101318359375
3117.177734375,3070.8935546875
3102.623291015625,3111.281494140625
3105.5400390625,3113.91259765625
3091.656005859375,3088.796142578125
3102.1259765625,3066.89501953125
3140.324951171875,3043.187255859375
3150.33349609375,3077.567626953125
3158.400390625,3087.445068359375
3139.87646484375,3166.134033203125
3153.742919921875,3117.514892578125
3130.674072265625,3200.07080078125
3132.486328125,3126.441650390625
3123.166259765625,3110.557861328125
3144.3740234375,3142.80224609375
3140.013671875,3029.130126953125
3156.2119140625,3101.72265625
3147.453125,3124.806396484375
3157.873046875,3161.839111328125
3185.44384765625,3176.275390625
3191.19677734375,3136.3837890625
3173.201416015625,3066.55859375
3188.0625,3141.63916015625
3192.427001953125,3150.996826171875
3195.91162109375,3173.74609375
3182.803955078125,3207.5244140625
3207.13427734375,3129.796875
3212.444091796875,3188.13916015625
3217.956787109375,3173.6298828125
3212.6318359375,3177.477294921875
3203.03759765625,3193.807373046875
3197.5439453125,3203.638427734375
3218.1630859375,3158.74072265625
3222.416748046875,3141.81640625
3176.46484375,3180.412841796875
3187.567138671875,3158.375732421875
3230.976318359375,3156.254638671875
3244.86474609375,3157.224365234375
3237.981689453125,3242.180419921875
3250.598876953125,3222.932861328125
3243.689453125,3209.70849609375
3247.6748046875,3208.56640625
3249.78125,3247.2451171875
3253.240478515625,3241.738037109375
3273.0283203125,3223.533935546875
3292.638427734375,3268.693115234375
3285.056884765625,3264.916259765625
3272.928466796875,3303.61767578125
3262.080810546875,3256.440185546875
3279.45654296875,3289.590087890625
3281.872802734375,3240.81103515625
3275.572998046875,3259.1318359375
3261.74951171875,3282.011474609375
3208.541259765625,3238.846923828125
3237.3603515625,3238.517333984375
3251.26171875,3217.150634765625
3246.451171875,3246.389404296875
3268.4296875,3203.24853515625
3268.724365234375,3269.86767578125
3286.905517578125,3257.611328125
3290.225830078125,3286.71240234375
3287.704833984375,3275.894287109375
3271.51171875,3282.201904296875
3331.522216796875,3290.53125
3362.6513671875,3334.406982421875
3365.22607421875,3312.031982421875
3363.62646484375,3369.388916015625
3360.810302734375,3362.991943359375
3367.119384765625,3360.1982421875
3379.5830078125,3351.386474609375
3384.317138671875,3368.304443359375
3385.388671875,3441.671142578125
3365.497314453125,3399.47900390625
3365.24267578125,3368.321044921875
3376.418701171875,3359.989501953125
3379.488037109375,3409.60791015625
3384.14697265625,3392.579833984375
3371.42578125,3391.353759765625
3353.619140625,3407.885009765625
3362.858642578125,3364.700927734375
3356.8447265625,3330.65673828125
3365.995849609375,3313.56884765625
3357.812255859375,3380.75
3352.529296875,3351.434326171875
3341.548583984375,3350.8974609375
3343.58251953125,3375.05517578125
3345.271728515625,3385.025390625
3339.64208984375,3337.6025390625
3348.943115234375,3358.846435546875
3374.378173828125,3358.906982421875
3382.988037109375,3385.510986328125
3388.28369140625,3364.71630859375
3386.099853515625,3403.59228515625
3390.523193359375,3396.407958984375
3378.470458984375,3392.547119140625
3372.040771484375,3393.616455078125
3381.793701171875,3403.274169921875
3370.172119140625,3371.923583984375
3378.64794921875,3377.98681640625
3380.698974609375,3398.06591796875
3388.247802734375,3388.302734375
3396.8974609375,3384.321533203125
3407.567138671875,3389.158447265625
3416.8125,3435.34033203125
3390.337158203125,3404.54296875
3393.341796875,3386.7421875
3395.91259765625,3397.185791015625
3383.3095703125,3380.90576171875
3371.744140625,3420.161376953125
3388.174072265625,3363.090576171875
3413.57470703125,3370.38671875
3415.460205078125,3386.662109375
3427.79443359375,3391.19189453125
3432.673095703125,3420.474609375
3447.835693359375,3439.2412109375
3429.548095703125,3466.2421875
3402.524658203125,3472.42333984375
3399.250244140625,3411.454833984375
3382.907470703125,3402.452880859375
3392.39892578125,3399.701904296875
3410.49755859375,3355.073974609375
3430.46435546875,3450.206298828125
3351.918212890625,3342.5908203125
3353.820556640625,3382.09716796875
3322.229736328125,3336.507568359375
3333.656982421875,3332.116943359375
3337.862060546875,3353.327880859375
3317.1884765625,3337.68994140625
3317.617431640625,3322.785888671875
3309.618408203125,3293.85498046875
3303.675048828125,3297.825439453125
3293.96484375,3299.481201171875
3272.05419921875,3256.304443359375
3289.992431640625,3287.329345703125
3322.195556640625,3292.897216796875
3280.813720703125,3290.80859375
3303.037353515625,3282.432373046875
3292.4384765625,3282.057861328125
3266.13720703125,3294.41552734375
3267.92236328125,3292.451171875
3296.538330078125,3249.306396484375
3287.605712890625,3250.00634765625
3300.059326171875,3344.006103515625
3297.06298828125,3292.135009765625
3280.4609375,3303.144775390625
3306.124755859375,3281.1591796875
3275.78271484375,3277.8427734375
3296.384765625,3302.245361328125
3307.172119140625,3299.331787109375
3348.325927734375,3297.361083984375
3369.1083984375,3350.6279296875
3385.710205078125,3362.649658203125
3391.75,3381.36474609375
3409.4794921875,3395.103515625
3413.899658203125,3400.353759765625
3421.834228515625,3393.628173828125
3425.3447265625,3379.490966796875
3428.940673828125,3405.437255859375
3410.48828125,3430.91015625
3436.593994140625,3436.661865234375
3444.67138671875,3416.6328125
3474.754150390625,3438.572509765625
3487.864013671875,3443.760986328125
3501.3623046875,3534.709716796875
3546.504638671875,3509.621337890625
3559.465087890625,3533.560791015625
3548.30712890625,3563.251953125
3558.12890625,3579.586669921875
3523.000732421875,3564.96435546875
3488.009033203125,3547.650390625
3480.83349609375,3526.52392578125
3446.979736328125,3434.572509765625
3462.080810546875,3478.544921875
3487.4970703125,3444.974609375
3370.65185546875,3501.275390625
3309.259765625,3378.200439453125
3262.050537109375,3344.116455078125
3129.850830078125,3268.9287109375
3154.125244140625,3157.154052734375
3184.958740234375,3152.696044921875
3199.158935546875,3204.095947265625
3268.558837890625,3159.208740234375
3289.024169921875,3203.25830078125
3329.57373046875,3297.885009765625
3292.06787109375,3415.939697265625
3259.407958984375,3334.531982421875
3273.7548828125,3269.951171875
3254.5283203125,3229.465087890625
3256.92626953125,3246.197265625
3289.641845703125,3243.597412109375
3271.66845703125,3289.27490234375
3288.405517578125,3328.29736328125
3307.16552734375,3296.36865234375
3326.69921875,3327.124267578125
3310.23876953125,3319.0458984375
3291.3818359375,3322.1015625
3291.112060546875,3344.823974609375
3269.882080078125,3313.17431640625
3279.251708984375,3291.259521484375
3290.639892578125,3271.429931640625
3280.9521484375,3273.296875
