test,prediction
3287.704833984375,3302.66357421875
3271.51171875,3264.236572265625
3331.522216796875,3265.029052734375
3362.6513671875,3303.063232421875
3365.22607421875,3363.288818359375
3363.62646484375,3350.7451171875
3360.810302734375,3381.6083984375
3367.119384765625,3365.3486328125
3379.5830078125,3334.198974609375
3384.317138671875,3380.8115234375
3385.388671875,3371.0478515625
3365.497314453125,3390.236083984375
3365.24267578125,3358.07421875
3376.418701171875,3348.6796875
3379.488037109375,3343.575927734375
3384.14697265625,3389.19482421875
3371.42578125,3380.962646484375
3353.619140625,3416.593017578125
3362.858642578125,3337.25439453125
3356.8447265625,3349.68798828125
3365.995849609375,3366.8134765625
3357.812255859375,3398.685302734375
3352.529296875,3357.808349609375
3341.548583984375,3336.2001953125
3343.58251953125,3366.05908203125
3345.271728515625,3311.491455078125
3339.64208984375,3343.32177734375
3348.943115234375,3390.971923828125
3374.378173828125,3341.581787109375
3382.988037109375,3366.41162109375
3388.28369140625,3420.7333984375
3386.099853515625,3364.295166015625
3390.523193359375,3420.898193359375
3378.470458984375,3373.840087890625
3372.040771484375,3413.083251953125
3381.793701171875,3437.525390625
3370.172119140625,3390.66357421875
3378.64794921875,3385.513427734375
3380.698974609375,3417.34033203125
3388.247802734375,3358.8681640625
3396.8974609375,3372.042236328125
3407.567138671875,3388.969482421875
3416.8125,3432.298095703125
3390.337158203125,3428.310791015625
3393.341796875,3439.134033203125
3395.91259765625,3438.73583984375
3383.3095703125,3412.878173828125
3371.744140625,3361.849609375
3388.174072265625,3378.43603515625
3413.57470703125,3377.78271484375
3415.460205078125,3425.9775390625
3427.79443359375,3423.423828125
3432.673095703125,3402.10546875
3447.835693359375,3441.354736328125
3429.548095703125,3450.41064453125
3402.524658203125,3439.156982421875
3399.250244140625,3408.33642578125
3382.907470703125,3392.97119140625
3392.39892578125,3408.81103515625
3410.49755859375,3401.8935546875
3430.46435546875,3400.428955078125
3351.918212890625,3406.789794921875
3353.820556640625,3430.05078125
3322.229736328125,3397.784912109375
3333.656982421875,3324.219482421875
3337.862060546875,3330.984619140625
3317.1884765625,3325.392333984375
3317.617431640625,3317.703125
3309.618408203125,3284.543701171875
3303.675048828125,3310.7431640625
3293.96484375,3317.504638671875
3272.05419921875,3310.033203125
3289.992431640625,3291.80712890625
3322.195556640625,3276.002685546875
3280.813720703125,3339.860107421875
3303.037353515625,3312.70166015625
3292.4384765625,3331.39990234375
3266.13720703125,3343.695068359375
3267.92236328125,3290.218505859375
3296.538330078125,3283.735595703125
3287.605712890625,3289.45458984375
3300.059326171875,3282.289306640625
3297.06298828125,3309.212890625
3280.4609375,3296.9267578125
3306.124755859375,3285.78564453125
3275.78271484375,3288.45849609375
3296.384765625,3314.904052734375
3307.172119140625,3309.849609375
3348.325927734375,3334.489013671875
3369.1083984375,3346.818115234375
3385.710205078125,3355.964111328125
3391.75,3396.107666015625
3409.4794921875,3433.406494140625
3413.899658203125,3454.277099609375
3421.834228515625,3465.309326171875
3425.3447265625,3441.83544921875
3428.940673828125,3457.096923828125
3410.48828125,3415.305908203125
3436.593994140625,3436.946533203125
3444.67138671875,3428.0908203125
3474.754150390625,3436.547119140625
3487.864013671875,3470.65380859375
3501.3623046875,3489.9970703125
3546.504638671875,3494.06494140625
3559.465087890625,3569.287841796875
3548.30712890625,3526.036376953125
3558.12890625,3552.471435546875
3523.000732421875,3558.123046875
3488.009033203125,3556.90087890625
3480.83349609375,3507.177490234375
3446.979736328125,3510.145751953125
3462.080810546875,3486.798583984375
3487.4970703125,3444.414306640625
3370.65185546875,3446.66064453125
3309.259765625,3362.001220703125
3262.050537109375,3371.505126953125
3129.850830078125,3312.520751953125
3154.125244140625,3133.031982421875
3184.958740234375,3150.880615234375
3199.158935546875,3178.372802734375
3268.558837890625,3204.581298828125
3289.024169921875,3251.763916015625
3329.57373046875,3319.167724609375
3292.06787109375,3341.282958984375
3259.407958984375,3345.247802734375
3273.7548828125,3271.88134765625
3254.5283203125,3243.519287109375
3256.92626953125,3248.18017578125
3289.641845703125,3313.078857421875
3271.66845703125,3256.913818359375
3288.405517578125,3292.322509765625
3307.16552734375,3286.332275390625
3326.69921875,3289.376220703125
3310.23876953125,3318.184814453125
3291.3818359375,3315.03271484375
3291.112060546875,3310.681884765625
3269.882080078125,3273.5224609375
3279.251708984375,3318.330322265625
3290.639892578125,3298.38916015625
3280.9521484375,3261.19677734375
3263.480224609375,3284.763671875
3152.7607421875,3273.9033203125
3133.7216796875,3234.791748046875
3166.64892578125,3122.853759765625
3122.28955078125,3139.067626953125
3160.530517578125,3115.978515625
3168.896484375,3158.208984375
3163.178955078125,3159.4931640625
3136.633056640625,3191.014892578125
3131.111328125,3113.39501953125
3138.293701171875,3159.3349609375
3190.321533203125,3145.115966796875
3208.081787109375,3167.180419921875
3180.158203125,3215.783203125
3159.05224609375,3190.083984375
3110.64892578125,3215.392578125
3066.796630859375,3185.326904296875
3091.398681640625,3097.1455078125
3117.3759765625,3096.907958984375
3071.54248046875,3122.21875
3068.011962890625,3097.765380859375
3128.92724609375,3094.931396484375
3117.973876953125,3120.503173828125
3075.030029296875,3120.68603515625
3082.2314453125,3099.329833984375
3081.17724609375,3092.6806640625
3100.858642578125,3076.449462890625
3091.033447265625,3070.576171875
3136.644775390625,3103.52197265625
3161.49755859375,3108.078369140625
3159.150146484375,3166.44970703125
3174.41259765625,3167.5791015625
3163.26318359375,3171.9677734375
3174.031982421875,3201.54248046875
3192.118408203125,3190.300537109375
3169.565185546875,3198.300048828125
3154.282470703125,3186.360107421875
3193.30322265625,3170.121337890625
3213.84033203125,3195.2744140625
3214.349609375,3235.51904296875
3168.964111328125,3224.741943359375
3154.650634765625,3218.28515625
3141.30322265625,3188.382568359375
3135.08203125,3154.511474609375
3120.46044921875,3184.271484375
3041.443359375,3155.015869140625
3095.4736328125,3088.9580078125
3075.13720703125,3077.508056640625
3091.19091796875,3086.244140625
3114.20556640625,3083.327880859375
3115.18017578125,3107.518310546875
3109.498779296875,3139.91064453125
3067.14794921875,3119.33642578125
3052.782958984375,3135.052734375
3079.8017578125,3059.193603515625
3049.79638671875,3062.48974609375
3044.15966796875,3059.157958984375
3021.90087890625,3056.150146484375
2907.822265625,3038.742919921875
2915.7314453125,2943.22705078125
2875.809814453125,2922.63525390625
2889.76025390625,2893.03173828125
2859.33642578125,2853.582763671875
2844.508056640625,2890.53955078125
2813.177490234375,2850.561279296875
2786.896728515625,2827.09228515625
2847.418212890625,2791.6201171875
2775.55712890625,2823.096435546875
2786.887939453125,2792.776123046875
2759.1259765625,2784.30810546875
2733.8818359375,2767.725830078125
2747.228515625,2758.6796875
2815.109375,2740.319091796875
2827.625244140625,2761.86865234375
2777.771240234375,2831.412353515625
2837.658447265625,2796.185302734375
2831.18359375,2833.2158203125
2814.041748046875,2841.662109375
2798.1259765625,2838.99365234375
2787.257080078125,2775.1181640625
2772.54541015625,2792.52490234375
2829.271240234375,2782.138916015625
2859.542236328125,2768.205078125
2905.561767578125,2841.258056640625
2903.646728515625,2870.782470703125
2882.225341796875,2927.849609375
2873.59375,2921.887451171875
2869.049560546875,2885.34619140625
2876.40087890625,2890.849365234375
2824.53369140625,2884.075439453125
