test,prediction
3246.933349609375,3228.705078125
3230.028076171875,3244.368408203125
3218.311767578125,3262.1962890625
3233.86572265625,3248.251708984375
3242.406494140625,3193.51318359375
3240.66455078125,3184.178466796875
3216.745849609375,3230.095458984375
3212.760009765625,3172.851318359375
3237.0244140625,3221.963134765625
3239.327880859375,3194.569580078125
3241.759765625,3286.30078125
3268.935302734375,3239.781982421875
3237.447265625,3216.711669921875
3250.808349609375,3221.255859375
3261.61083984375,3209.26123046875
3245.2197265625,3267.106201171875
3248.549560546875,3254.1640625
3269.445068359375,3233.30126953125
3266.955078125,3250.21435546875
3252.94775390625,3288.035400390625
3241.314453125,3243.444091796875
3210.23681640625,3247.258544921875
3222.51416015625,3204.579833984375
3270.305419921875,3214.12646484375
3281.004638671875,3218.15087890625
3286.615966796875,3287.473388671875
3269.392578125,3273.46630859375
3288.965576171875,3236.22412109375
3273.830078125,3270.4072265625
3275.960205078125,3248.99267578125
3246.066650390625,3245.150390625
3222.167236328125,3245.78955078125
3196.71337890625,3154.8271484375
3170.686767578125,3206.705322265625
3172.100341796875,3085.0859375
3173.151123046875,3175.7626953125
3129.53125,3147.28515625
3134.5673828125,3103.3134765625
3140.84716796875,3109.76953125
3152.186767578125,3131.309326171875
3154.658447265625,3078.222412109375
3143.712158203125,3140.734130859375
3135.345947265625,3131.828369140625
3127.36865234375,3008.787109375
3103.037841796875,3114.1806640625
3078.613037109375,3084.5625
3080.52685546875,3097.3720703125
3052.784912109375,3099.006103515625
3061.500244140625,3085.322021484375
3083.51318359375,2982.80126953125
3090.228759765625,3052.172607421875
3112.964111328125,3062.15576171875
3104.44140625,3048.4306640625
3090.13916015625,3116.6455078125
3090.630859375,3089.3251953125
3075.675537109375,3096.151611328125
3061.947021484375,3049.8076171875
3064.075927734375,3009.25146484375
3107.8310546875,3004.206787109375
3110.058837890625,3047.21337890625
3117.177734375,3094.1201171875
3102.623291015625,3008.88623046875
3105.5400390625,3102.986328125
3091.656005859375,3074.663818359375
3102.1259765625,3078.995849609375
3140.324951171875,3067.857421875
3150.33349609375,3114.381591796875
3158.400390625,3095.630126953125
3139.87646484375,3154.31884765625
3153.742919921875,3110.43798828125
3130.674072265625,3113.30908203125
3132.486328125,3138.1279296875
3123.166259765625,3111.383056640625
3144.3740234375,3039.98828125
3140.013671875,3108.41064453125
3156.2119140625,3101.0205078125
3147.453125,3127.00537109375
3157.873046875,3130.17626953125
3185.44384765625,3185.693603515625
3191.19677734375,3183.51318359375
3173.201416015625,3154.60498046875
3188.0625,3125.035400390625
3192.427001953125,3155.186279296875
3195.91162109375,3202.6513671875
3182.803955078125,3195.7421875
3207.13427734375,3175.7470703125
3212.444091796875,3164.023681640625
3217.956787109375,3170.945556640625
3212.6318359375,3191.302490234375
3203.03759765625,3207.963623046875
3197.5439453125,3188.168212890625
3218.1630859375,3193.831298828125
3222.416748046875,3143.6318359375
3176.46484375,3181.416259765625
3187.567138671875,3178.299560546875
3230.976318359375,3161.1982421875
3244.86474609375,3188.20263671875
3237.981689453125,3247.061279296875
3250.598876953125,3163.412841796875
3243.689453125,3207.13134765625
3247.6748046875,3252.3232421875
3249.78125,3270.136474609375
3253.240478515625,3251.46826171875
