test,prediction
3230.028076171875,3271.637939453125
3218.311767578125,3262.30712890625
3233.86572265625,3251.702392578125
3242.406494140625,3253.935546875
3240.66455078125,3244.07373046875
3216.745849609375,3246.461669921875
3212.760009765625,3247.828857421875
3237.0244140625,3226.3828125
3239.327880859375,3225.835205078125
3241.759765625,3242.193359375
3268.935302734375,3214.09619140625
3237.447265625,3251.29833984375
3250.808349609375,3248.657470703125
3261.61083984375,3262.3896484375
3245.2197265625,3261.991455078125
3248.549560546875,3263.2861328125
3269.445068359375,3270.973388671875
3266.955078125,3252.0732421875
3252.94775390625,3281.50048828125
3241.314453125,3270.565673828125
3210.23681640625,3273.86865234375
3222.51416015625,3255.8916015625
3270.305419921875,3236.084716796875
3281.004638671875,3230.991943359375
3286.615966796875,3241.515380859375
3269.392578125,3264.498291015625
3288.965576171875,3251.259765625
3273.830078125,3278.6904296875
3275.960205078125,3272.267822265625
3246.066650390625,3289.0107421875
3222.167236328125,3278.523681640625
3196.71337890625,3245.2333984375
3170.686767578125,3232.779541015625
3172.100341796875,3197.125732421875
3173.151123046875,3194.173828125
3129.53125,3173.2861328125
3134.5673828125,3126.31982421875
3140.84716796875,3151.58203125
3152.186767578125,3122.998291015625
3154.658447265625,3094.934326171875
3143.712158203125,3111.5087890625
3135.345947265625,3105.2314453125
3127.36865234375,3109.21240234375
3103.037841796875,3132.1025390625
3078.613037109375,3122.98583984375
3080.52685546875,3096.39208984375
3052.784912109375,3095.90283203125
3061.500244140625,3074.887451171875
3083.51318359375,3048.340087890625
3090.228759765625,3047.139404296875
3112.964111328125,3053.161376953125
3104.44140625,3060.550048828125
3090.13916015625,3062.985595703125
3090.630859375,3082.850830078125
3075.675537109375,3079.893798828125
3061.947021484375,3096.556640625
3064.075927734375,3071.978271484375
3107.8310546875,3084.6484375
3110.058837890625,3071.77587890625
3117.177734375,3081.20166015625
3102.623291015625,3081.527587890625
3105.5400390625,3102.540771484375
3091.656005859375,3074.037109375
3102.1259765625,3101.140869140625
3140.324951171875,3095.80517578125
3150.33349609375,3103.506591796875
3158.400390625,3111.0908203125
3139.87646484375,3098.201416015625
3153.742919921875,3123.14990234375
3130.674072265625,3119.712158203125
3132.486328125,3107.236083984375
3123.166259765625,3148.113037109375
3144.3740234375,3158.29638671875
3140.013671875,3143.6689453125
3156.2119140625,3090.222900390625
3147.453125,3112.05712890625
3157.873046875,3154.424560546875
3185.44384765625,3121.7451171875
3191.19677734375,3163.2978515625
3173.201416015625,3170.35791015625
3188.0625,3131.47705078125
3192.427001953125,3166.241943359375
3195.91162109375,3163.091552734375
3182.803955078125,3183.8857421875
3207.13427734375,3177.258544921875
3212.444091796875,3195.64111328125
3217.956787109375,3195.717041015625
3212.6318359375,3144.751953125
3203.03759765625,3183.05859375
3197.5439453125,3200.20361328125
3218.1630859375,3153.800537109375
3222.416748046875,3201.94384765625
3176.46484375,3194.81396484375
3187.567138671875,3198.4638671875
3230.976318359375,3189.40478515625
3244.86474609375,3207.99755859375
3237.981689453125,3208.66064453125
3250.598876953125,3215.550048828125
3243.689453125,3223.406494140625
3247.6748046875,3228.676025390625
3249.78125,3233.891845703125
3253.240478515625,3225.6318359375
3273.0283203125,3221.5419921875
3292.638427734375,3217.91845703125
3285.056884765625,3257.775146484375
3272.928466796875,3274.525146484375
3262.080810546875,3261.39697265625
3279.45654296875,3240.660400390625
3281.872802734375,3259.190673828125
3275.572998046875,3243.94384765625
3261.74951171875,3259.585205078125
3208.541259765625,3257.221923828125
3237.3603515625,3233.10986328125
3251.26171875,3231.929443359375
3246.451171875,3235.47607421875
3268.4296875,3201.077880859375
3268.724365234375,3207.90673828125
3286.905517578125,3199.662353515625
3290.225830078125,3239.9833984375
3287.704833984375,3259.25
3271.51171875,3270.64013671875
3331.522216796875,3270.78271484375
3362.6513671875,3280.30712890625
3365.22607421875,3306.613037109375
3363.62646484375,3325.655517578125
3360.810302734375,3325.0078125
3367.119384765625,3325.111328125
3379.5830078125,3340.092041015625
3384.317138671875,3366.187744140625
3385.388671875,3351.202392578125
3365.497314453125,3359.348388671875
3365.24267578125,3362.779541015625
3376.418701171875,3373.450927734375
3379.488037109375,3367.974853515625
3384.14697265625,3354.12841796875
3371.42578125,3358.06787109375
3353.619140625,3361.323974609375
3362.858642578125,3344.73828125
3356.8447265625,3346.239990234375
3365.995849609375,3340.427978515625
3357.812255859375,3367.96435546875
3352.529296875,3340.336181640625
3341.548583984375,3340.45068359375
3343.58251953125,3319.369873046875
3345.271728515625,3332.34912109375
3339.64208984375,3334.878662109375
3348.943115234375,3332.390380859375
3374.378173828125,3317.161865234375
3382.988037109375,3349.744384765625
3388.28369140625,3382.593505859375
3386.099853515625,3342.182861328125
3390.523193359375,3370.203857421875
3378.470458984375,3385.041259765625
3372.040771484375,3379.244873046875
3381.793701171875,3363.16162109375
3370.172119140625,3378.5771484375
3378.64794921875,3363.79443359375
3380.698974609375,3362.760009765625
3388.247802734375,3372.58154296875
3396.8974609375,3370.476318359375
3407.567138671875,3386.6689453125
3416.8125,3382.677734375
3390.337158203125,3385.64111328125
3393.341796875,3397.6904296875
3395.91259765625,3435.99072265625
3383.3095703125,3417.345458984375
3371.744140625,3373.595458984375
3388.174072265625,3443.704833984375
3413.57470703125,3373.6103515625
3415.460205078125,3373.96533203125
3427.79443359375,3389.835693359375
3432.673095703125,3391.44384765625
3447.835693359375,3427.048828125
3429.548095703125,3456.606201171875
3402.524658203125,3468.11279296875
3399.250244140625,3402.49755859375
3382.907470703125,3401.16015625
3392.39892578125,3431.549072265625
3410.49755859375,3426.260009765625
3430.46435546875,3371.958740234375
3351.918212890625,3410.94677734375
3353.820556640625,3401.1982421875
3322.229736328125,3403.4443359375
3333.656982421875,3360.0595703125
3337.862060546875,3329.96484375
3317.1884765625,3328.745849609375
3317.617431640625,3298.38916015625
3309.618408203125,3293.664794921875
3303.675048828125,3302.88623046875
3293.96484375,3308.4287109375
3272.05419921875,3273.9814453125
3289.992431640625,3270.941162109375
3322.195556640625,3258.53173828125
3280.813720703125,3260.17431640625
3303.037353515625,3280.87060546875
3292.4384765625,3284.225830078125
3266.13720703125,3290.830078125
3267.92236328125,3266.77490234375
3296.538330078125,3293.5283203125
3287.605712890625,3271.146484375
3300.059326171875,3285.594482421875
3297.06298828125,3279.947998046875
3280.4609375,3292.293701171875
3306.124755859375,3282.7734375
3275.78271484375,3307.611328125
3296.384765625,3305.50927734375
3307.172119140625,3295.421630859375
3348.325927734375,3326.94140625
3369.1083984375,3341.35791015625
3385.710205078125,3351.630126953125
3391.75,3343.213623046875
3409.4794921875,3419.3916015625
3413.899658203125,3433.769287109375
3421.834228515625,3407.1474609375
3425.3447265625,3387.183837890625
3428.940673828125,3436.298583984375
3410.48828125,3454.575927734375
3436.593994140625,3465.41748046875
3444.67138671875,3427.374755859375
3474.754150390625,3451.46533203125
3487.864013671875,3485.69677734375
3501.3623046875,3456.80712890625
3546.504638671875,3520.25390625
3559.465087890625,3496.8525390625
3548.30712890625,3520.776611328125
3558.12890625,3583.24462890625
3523.000732421875,3520.854736328125
3488.009033203125,3564.146728515625
3480.83349609375,3509.040771484375
3446.979736328125,3487.30810546875
3462.080810546875,3485.119140625
3487.4970703125,3455.4736328125
3370.65185546875,3476.25732421875
3309.259765625,3398.105224609375
3262.050537109375,3390.348388671875
3129.850830078125,3281.050048828125
3154.125244140625,3187.799072265625
3184.958740234375,3153.47802734375
3199.158935546875,3166.950439453125
3268.558837890625,3136.2373046875
3289.024169921875,3163.5205078125
3329.57373046875,3199.913330078125
3292.06787109375,3274.84423828125
