test,prediction
3287.704833984375,3290.5341796875
3271.51171875,3275.412109375
3331.522216796875,3341.512451171875
3362.6513671875,3337.014892578125
3365.22607421875,3358.671142578125
3363.62646484375,3356.7216796875
3360.810302734375,3349.96337890625
3367.119384765625,3307.431884765625
3379.5830078125,3427.01806640625
3384.317138671875,3374.70068359375
3385.388671875,3438.457275390625
3365.497314453125,3378.890869140625
3365.24267578125,3332.61181640625
3376.418701171875,3371.7724609375
3379.488037109375,3371.4990234375
3384.14697265625,3385.759033203125
3371.42578125,3409.835205078125
3353.619140625,3350.24853515625
3362.858642578125,3357.384033203125
3356.8447265625,3371.767578125
3365.995849609375,3349.8701171875
3357.812255859375,3304.64501953125
3352.529296875,3360.828369140625
3341.548583984375,3333.234375
3343.58251953125,3370.15283203125
3345.271728515625,3336.56689453125
3339.64208984375,3346.841796875
3348.943115234375,3351.2939453125
3374.378173828125,3363.408203125
3382.988037109375,3356.719970703125
3388.28369140625,3382.5498046875
3386.099853515625,3438.884765625
3390.523193359375,3435.859375
3378.470458984375,3419.44775390625
3372.040771484375,3388.357177734375
3381.793701171875,3302.283935546875
3370.172119140625,3365.48828125
3378.64794921875,3351.18212890625
3380.698974609375,3375.174072265625
3388.247802734375,3369.0625
3396.8974609375,3380.694091796875
3407.567138671875,3424.046875
3416.8125,3415.465576171875
3390.337158203125,3416.1123046875
3393.341796875,3374.47998046875
3395.91259765625,3354.85791015625
3383.3095703125,3366.30126953125
3371.744140625,3391.319091796875
3388.174072265625,3375.64892578125
3413.57470703125,3404.399658203125
3415.460205078125,3447.389892578125
3427.79443359375,3442.87060546875
3432.673095703125,3434.309326171875
3447.835693359375,3431.551025390625
3429.548095703125,3430.331787109375
3402.524658203125,3393.62890625
3399.250244140625,3413.58642578125
3382.907470703125,3406.4326171875
3392.39892578125,3409.635009765625
3410.49755859375,3392.1865234375
3430.46435546875,3384.389892578125
3351.918212890625,3364.96484375
3353.820556640625,3383.933837890625
3322.229736328125,3352.589111328125
3333.656982421875,3284.884521484375
3337.862060546875,3313.159423828125
3317.1884765625,3306.774169921875
3317.617431640625,3298.486083984375
3309.618408203125,3328.846923828125
3303.675048828125,3335.626708984375
3293.96484375,3352.761474609375
3272.05419921875,3312.020263671875
3289.992431640625,3288.046630859375
3322.195556640625,3273.440185546875
3280.813720703125,3298.181884765625
3303.037353515625,3311.396484375
3292.4384765625,3274.378173828125
3266.13720703125,3276.371337890625
3267.92236328125,3236.05517578125
3296.538330078125,3263.5419921875
3287.605712890625,3273.31689453125
3300.059326171875,3324.8896484375
3297.06298828125,3347.935302734375
3280.4609375,3296.713623046875
3306.124755859375,3327.44287109375
3275.78271484375,3320.873046875
3296.384765625,3334.7138671875
3307.172119140625,3299.566650390625
3348.325927734375,3276.998046875
3369.1083984375,3319.94091796875
3385.710205078125,3399.0166015625
3391.75,3380.328857421875
3409.4794921875,3373.483642578125
3413.899658203125,3388.133544921875
3421.834228515625,3378.949951171875
3425.3447265625,3385.463134765625
3428.940673828125,3438.167724609375
3410.48828125,3448.54541015625
3436.593994140625,3474.558837890625
3444.67138671875,3435.77685546875
3474.754150390625,3447.626220703125
3487.864013671875,3490.633056640625
3501.3623046875,3512.167236328125
3546.504638671875,3501.5625
3559.465087890625,3524.4794921875
3548.30712890625,3584.683837890625
3558.12890625,3607.645751953125
3523.000732421875,3506.740966796875
3488.009033203125,3527.6533203125
3480.83349609375,3529.142333984375
3446.979736328125,3473.72900390625
3462.080810546875,3493.742919921875
3487.4970703125,3415.56640625
3370.65185546875,3448.702880859375
3309.259765625,3345.26220703125
3262.050537109375,3335.48828125
3129.850830078125,3298.9599609375
3154.125244140625,3076.038818359375
3184.958740234375,3111.269775390625
3199.158935546875,3141.733154296875
3268.558837890625,3184.71826171875
3289.024169921875,3246.3291015625
3329.57373046875,3320.9287109375
3292.06787109375,3347.519775390625
3259.407958984375,3357.63720703125
3273.7548828125,3267.59130859375
3254.5283203125,3280.292724609375
3256.92626953125,3212.313720703125
3289.641845703125,3232.948486328125
3271.66845703125,3235.123291015625
3288.405517578125,3278.82470703125
3307.16552734375,3323.2919921875
3326.69921875,3337.6279296875
3310.23876953125,3349.306396484375
3291.3818359375,3331.076171875
3291.112060546875,3323.065185546875
3269.882080078125,3309.114013671875
3279.251708984375,3279.512939453125
3290.639892578125,3296.07373046875
3280.9521484375,3275.52197265625
3263.480224609375,3301.2470703125
3152.7607421875,3257.73291015625
3133.7216796875,3173.54443359375
3166.64892578125,3097.42333984375
3122.28955078125,3155.6064453125
3160.530517578125,3146.901611328125
3168.896484375,3172.36376953125
3163.178955078125,3161.603515625
3136.633056640625,3193.74072265625
3131.111328125,3146.8662109375
3138.293701171875,3167.788330078125
3190.321533203125,3121.2529296875
3208.081787109375,3068.105712890625
3180.158203125,3165.674072265625
3159.05224609375,3201.5576171875
3110.64892578125,3199.73291015625
3066.796630859375,3166.01416015625
3091.398681640625,3157.54541015625
3117.3759765625,3064.7509765625
3071.54248046875,3142.102783203125
3068.011962890625,3069.01904296875
3128.92724609375,3075.24169921875
3117.973876953125,3100.41845703125
3075.030029296875,3155.48193359375
3082.2314453125,3077.399169921875
3081.17724609375,3063.741455078125
3100.858642578125,3076.013427734375
3091.033447265625,3099.876953125
3136.644775390625,3084.47705078125
3161.49755859375,3148.597412109375
3159.150146484375,3180.20458984375
3174.41259765625,3117.39208984375
3163.26318359375,3206.66259765625
3174.031982421875,3186.412353515625
3192.118408203125,3197.317138671875
3169.565185546875,3198.438232421875
3154.282470703125,3176.4873046875
3193.30322265625,3190.506591796875
3213.84033203125,3154.5849609375
3214.349609375,3241.333740234375
3168.964111328125,3242.103759765625
3154.650634765625,3212.62841796875
3141.30322265625,3150.8828125
3135.08203125,3153.193115234375
3120.46044921875,3158.1826171875
3041.443359375,3102.8291015625
3095.4736328125,3067.36376953125
3075.13720703125,3068.418212890625
3091.19091796875,3087.139892578125
3114.20556640625,3085.82470703125
3115.18017578125,3120.64697265625
3109.498779296875,3130.286865234375
3067.14794921875,3131.0947265625
3052.782958984375,3082.700927734375
3079.8017578125,3039.114013671875
3049.79638671875,3056.916259765625
3044.15966796875,3025.919921875
3021.90087890625,3040.9345703125
2907.822265625,3018.369140625
2915.7314453125,2973.74755859375
2875.809814453125,2913.69482421875
2889.76025390625,2905.10302734375
2859.33642578125,2882.44189453125
2844.508056640625,2856.975341796875
2813.177490234375,2865.638916015625
2786.896728515625,2826.37939453125
2847.418212890625,2842.459228515625
2775.55712890625,2822.127197265625
2786.887939453125,2807.867431640625
2759.1259765625,2773.7509765625
2733.8818359375,2770.95654296875
2747.228515625,2739.8583984375
2815.109375,2734.16259765625
2827.625244140625,2804.83984375
2777.771240234375,2809.240966796875
2837.658447265625,2720.595458984375
2831.18359375,2878.961669921875
2814.041748046875,2837.034912109375
2798.1259765625,2879.935302734375
2787.257080078125,2795.652099609375
2772.54541015625,2784.697509765625
2829.271240234375,2784.88720703125
2859.542236328125,2803.130126953125
2905.561767578125,2841.83056640625
2903.646728515625,2915.2197265625
2882.225341796875,2917.23095703125
2873.59375,2927.633056640625
2869.049560546875,2859.30615234375
2876.40087890625,2903.385986328125
2824.53369140625,2831.0849609375
3287.704833984375,3331.396240234375
