test,prediction
3230.028076171875,3246.41455078125
3218.311767578125,3233.592529296875
3233.86572265625,3214.650634765625
3242.40625,3247.665771484375
3240.66455078125,3224.841552734375
3216.745849609375,3236.060546875
3212.760009765625,3227.5361328125
3237.0244140625,3247.96044921875
3239.327880859375,3271.09619140625
3241.759765625,3262.441162109375
3268.935302734375,3264.98486328125
3237.447265625,3239.69775390625
3250.80810546875,3215.417236328125
3261.61083984375,3234.208740234375
3245.2197265625,3247.9794921875
3248.54931640625,3234.560302734375
3269.4453125,3271.869873046875
3266.955078125,3250.088623046875
3252.947998046875,3262.54296875
3241.314208984375,3279.187744140625
3210.23681640625,3251.613037109375
3222.514404296875,3250.262451171875
3270.30517578125,3235.785888671875
3281.004638671875,3216.918701171875
3286.615966796875,3249.587890625
3269.392578125,3261.477783203125
3288.965576171875,3261.895751953125
3273.830078125,3260.529052734375
3275.960205078125,3247.936279296875
3246.06689453125,3231.921875
3222.167236328125,3248.75732421875
3196.71337890625,3273.8701171875
3170.686767578125,3238.84375
3172.100341796875,3241.515380859375
3173.151123046875,3235.799072265625
3129.531005859375,3199.4375
3134.5673828125,3234.848388671875
3140.846923828125,3204.43896484375
3152.186767578125,3194.2353515625
3154.658203125,3196.911376953125
3143.7119140625,3175.06591796875
3135.345947265625,3160.590087890625
3127.36865234375,3132.175048828125
3103.037841796875,3159.272705078125
3078.61279296875,3115.781005859375
3080.527099609375,3113.077880859375
3052.784912109375,3164.153076171875
3061.500244140625,3118.347412109375
3083.51318359375,3083.932861328125
3090.22900390625,3069.125244140625
3112.964111328125,3075.896484375
3104.44140625,3119.1904296875
3090.138916015625,3099.533447265625
3090.630859375,3080.5244140625
3075.675537109375,3112.431640625
3061.94677734375,3081.374267578125
3064.07568359375,3070.115234375
3107.831298828125,3058.740966796875
3110.058837890625,3056.845458984375
3117.177978515625,3078.39599609375
3102.623291015625,3086.03759765625
3105.5400390625,3064.825439453125
3091.65625,3067.28369140625
3102.1259765625,3081.87646484375
3140.324951171875,3083.7763671875
3150.33349609375,3080.057861328125
3158.400146484375,3091.29345703125
3139.87646484375,3124.7451171875
3153.742919921875,3138.373779296875
3130.673828125,3126.349609375
3132.486328125,3108.1669921875
3123.166259765625,3112.72998046875
3144.3740234375,3148.982666015625
3140.013671875,3129.194091796875
3156.211669921875,3165.710693359375
3147.453125,3137.296142578125
3157.873046875,3167.34716796875
3185.444091796875,3129.444091796875
3191.19677734375,3179.96240234375
3173.201416015625,3123.779296875
3188.0625,3156.40869140625
3192.4267578125,3171.310302734375
3195.911376953125,3136.291259765625
3182.803955078125,3115.90478515625
3207.134033203125,3135.501220703125
3212.44384765625,3151.563720703125
3217.956787109375,3179.716796875
3212.6318359375,3195.92138671875
3203.03759765625,3178.491455078125
3197.5439453125,3203.690673828125
3218.1630859375,3191.281494140625
3222.416748046875,3213.734619140625
3176.464599609375,3216.62353515625
3187.567138671875,3210.8779296875
3230.97607421875,3192.803955078125
3244.864501953125,3207.226318359375
3237.981689453125,3215.73828125
3250.598876953125,3171.724609375
3243.689453125,3235.663818359375
3247.6748046875,3225.856689453125
3249.78125,3227.541748046875
3253.240478515625,3224.168701171875
3273.0283203125,3231.614013671875
3292.63818359375,3250.157958984375
3285.056640625,3255.28173828125
3272.9287109375,3237.909912109375
3262.080810546875,3248.255126953125
3279.45654296875,3259.684326171875
3281.872802734375,3253.258544921875
3275.57275390625,3274.224609375
3261.74951171875,3264.601318359375
3208.54150390625,3264.24267578125
3237.3603515625,3256.185791015625
3251.26171875,3260.670654296875
3246.451171875,3245.395751953125
3268.429931640625,3269.17578125
3268.72412109375,3255.021484375
3286.905517578125,3267.2548828125
3290.2255859375,3267.961669921875
3287.704833984375,3277.811279296875
3271.51171875,3272.345947265625
3331.522216796875,3282.445068359375
3362.6513671875,3268.47900390625
3365.22607421875,3306.36474609375
3363.62646484375,3336.058837890625
3360.810302734375,3325.2373046875
3367.119140625,3323.55126953125
3379.5830078125,3308.883056640625
3384.31689453125,3332.3642578125
3385.388671875,3390.723876953125
3365.497314453125,3363.135498046875
3365.24267578125,3384.98779296875
3376.418701171875,3341.42626953125
3379.488037109375,3379.118896484375
3384.14697265625,3366.692626953125
3371.42578125,3382.5751953125
3353.619384765625,3385.24755859375
3362.85888671875,3365.39501953125
3356.8447265625,3382.401123046875
3365.995849609375,3393.789306640625
3357.812255859375,3380.862548828125
3352.529541015625,3370.732666015625
3341.548828125,3384.40625
3343.58251953125,3385.0224609375
3345.271728515625,3367.252197265625
3339.64208984375,3382.30419921875
3348.943115234375,3373.273681640625
3374.3779296875,3380.0166015625
3382.98779296875,3387.5693359375
3388.28369140625,3372.357177734375
3386.10009765625,3397.186767578125
3390.5234375,3382.34326171875
3378.470458984375,3389.28173828125
3372.040771484375,3376.072265625
3381.79345703125,3393.295166015625
3370.172119140625,3382.091796875
3378.648193359375,3382.03955078125
3380.69921875,3408.99755859375
3388.24755859375,3387.791015625
3396.8974609375,3378.174072265625
3407.56689453125,3393.3974609375
3416.8125,3395.41064453125
3390.337158203125,3403.912353515625
3393.341796875,3388.333740234375
3395.912353515625,3413.97021484375
