test,prediction
3218.311767578125,3236.748779296875
3233.86572265625,3228.1640625
3242.40625,3237.423095703125
3240.66455078125,3248.88037109375
3216.74560546875,3248.28173828125
3212.760009765625,3228.070068359375
3237.0244140625,3213.606689453125
3239.327880859375,3236.233154296875
3241.759765625,3241.441162109375
3268.935302734375,3244.786865234375
3237.447021484375,3271.949951171875
3250.80810546875,3243.837646484375
3261.61083984375,3254.475341796875
3245.2197265625,3267.25048828125
3248.549560546875,3252.713134765625
3269.445068359375,3253.183349609375
3266.955078125,3270.939697265625
3252.947998046875,3270.0830078125
3241.314453125,3254.515869140625
3210.23681640625,3245.77734375
3222.51416015625,3217.228271484375
3270.305419921875,3226.102294921875
3281.004638671875,3263.849365234375
3286.615966796875,3281.955078125
3269.392578125,3284.681884765625
3288.9658203125,3275.254638671875
3273.830078125,3289.232177734375
3275.960205078125,3279.048583984375
3246.06689453125,3272.749755859375
3222.167236328125,3248.952392578125
3196.71337890625,3225.98046875
3170.686767578125,3206.857421875
3172.100341796875,3178.4228515625
3173.151123046875,3171.859619140625
3129.53125,3174.834716796875
3134.5673828125,3135.70166015625
3140.84716796875,3135.00830078125
3152.18701171875,3136.75439453125
3154.658447265625,3149.28515625
3143.712158203125,3156.97509765625
3135.345947265625,3145.65625
3127.36865234375,3138.85986328125
3103.037841796875,3131.875732421875
3078.61279296875,3106.310791015625
3080.52685546875,3081.944580078125
3052.784912109375,3077.9755859375
3061.500244140625,3054.016357421875
3083.51318359375,3059.726318359375
3090.22900390625,3079.601318359375
3112.964111328125,3088.684814453125
3104.44140625,3111.013916015625
3090.138916015625,3110.263427734375
3090.630859375,3097.035888671875
3075.675537109375,3090.0166015625
3061.947021484375,3083.054443359375
3064.075927734375,3067.824462890625
3107.8310546875,3067.754150390625
3110.05859375,3106.216064453125
3117.177734375,3109.840087890625
3102.623291015625,3120.43017578125
3105.5400390625,3113.093994140625
3091.656005859375,3111.8759765625
3102.1259765625,3099.36669921875
3140.324951171875,3103.24365234375
3150.33349609375,3136.1708984375
3158.400390625,3148.083740234375
3139.876708984375,3161.495849609375
3153.742919921875,3147.48291015625
3130.674072265625,3153.5185546875
3132.486328125,3140.20458984375
3123.166259765625,3135.185546875
3144.373779296875,3125.404296875
3140.013671875,3141.132568359375
3156.2119140625,3139.900634765625
3147.453125,3155.439453125
3157.873046875,3149.298095703125
3185.44384765625,3156.265625
3191.197021484375,3180.6025390625
3173.201416015625,3192.4580078125
3188.0625,3174.637451171875
3192.427001953125,3185.0556640625
3195.91162109375,3191.2705078125
3182.803955078125,3194.907470703125
3207.13427734375,3187.92529296875
3212.444091796875,3206.13427734375
3217.956787109375,3217.752197265625
3212.6318359375,3216.7412109375
3203.03759765625,3214.300048828125
3197.5439453125,3202.706298828125
3218.1630859375,3199.908935546875
3222.416748046875,3219.3544921875
3176.46484375,3223.00146484375
3187.567138671875,3187.23095703125
3230.976318359375,3187.9189453125
3244.86474609375,3224.417724609375
3237.981689453125,3242.13720703125
3250.598876953125,3242.179931640625
3243.689453125,3253.77099609375
3247.6748046875,3251.140380859375
3249.781494140625,3249.949462890625
3253.240478515625,3250.54833984375
3273.0283203125,3253.67041015625
3292.63818359375,3268.657958984375
3285.056884765625,3290.84375
3272.9287109375,3287.86474609375
3262.080810546875,3281.144775390625
3279.45654296875,3265.284912109375
3281.872802734375,3275.196533203125
3275.572998046875,3282.71337890625
3261.74951171875,3276.024169921875
3208.541259765625,3266.20166015625
3237.360107421875,3218.931396484375
3251.26171875,3232.431640625
3246.451171875,3247.535888671875
3268.4296875,3247.1484375
3268.724365234375,3268.075439453125
3286.905517578125,3268.980224609375
3290.2255859375,3283.88330078125
3287.704833984375,3289.99560546875
3271.51171875,3287.522705078125
3331.522216796875,3273.28369140625
3362.6513671875,3318.58935546875
3365.22607421875,3353.096923828125
3363.626708984375,3366.72265625
3360.810302734375,3365.204833984375
3367.119384765625,3364.200439453125
3379.5830078125,3366.376953125
3384.31689453125,3377.9677734375
3385.388916015625,3384.79541015625
3365.497314453125,3383.242919921875
3365.24267578125,3368.46044921875
3376.418701171875,3367.7431640625
3379.488037109375,3376.935791015625
3384.14697265625,3379.7919921875
3371.425537109375,3387.545166015625
3353.619140625,3379.0625
3362.858642578125,3358.4091796875
3356.844482421875,3358.862548828125
3365.995849609375,3356.622802734375
3357.812255859375,3366.271240234375
3352.529296875,3364.526123046875
3341.548583984375,3357.8427734375
