test,prediction
3218.311767578125,3224.0634765625
3233.86572265625,3214.1826171875
3242.40625,3228.713134765625
3240.66455078125,3237.372314453125
3216.74560546875,3239.35986328125
3212.760009765625,3214.998046875
3237.0244140625,3207.096435546875
3239.327880859375,3232.830078125
3241.759765625,3232.841796875
3268.935302734375,3238.429443359375
3237.447021484375,3271.6923828125
3250.80810546875,3233.171875
3261.61083984375,3249.209228515625
3245.2197265625,3259.962646484375
3248.549560546875,3242.46875
3269.445068359375,3246.786376953125
3266.955078125,3269.54541015625
3252.947998046875,3261.892578125
3241.314453125,3250.295166015625
3210.23681640625,3240.30908203125
3222.51416015625,3208.773193359375
3270.305419921875,3219.39892578125
3281.004638671875,3262.2685546875
3286.615966796875,3275.716552734375
3269.392578125,3284.80419921875
3288.9658203125,3269.20068359375
3273.830078125,3287.60791015625
3275.960205078125,3274.799560546875
3246.06689453125,3273.369140625
3222.167236328125,3244.3916015625
3196.71337890625,3217.243408203125
3170.686767578125,3189.44189453125
3172.100341796875,3162.22900390625
3173.151123046875,3172.055908203125
3129.53125,3168.799560546875
3134.5673828125,3125.037353515625
3140.84716796875,3133.430908203125
3152.18701171875,3135.5224609375
3154.658447265625,3146.145263671875
3143.712158203125,3148.014404296875
3135.345947265625,3142.053955078125
3127.36865234375,3132.48583984375
3103.037841796875,3120.806884765625
3078.61279296875,3098.593505859375
3080.52685546875,3075.56494140625
3052.784912109375,3076.7353515625
3061.500244140625,3043.56396484375
3083.51318359375,3060.21484375
3090.22900390625,3080.978515625
3112.964111328125,3086.10986328125
3104.44140625,3114.2626953125
3090.138916015625,3103.665283203125
3090.630859375,3087.0703125
3075.675537109375,3087.091796875
3061.947021484375,3072.153076171875
3064.075927734375,3060.14599609375
3107.8310546875,3057.354736328125
3110.05859375,3109.998291015625
3117.177734375,3102.365966796875
3102.623291015625,3117.858642578125
3105.5400390625,3100.512939453125
3091.656005859375,3104.760986328125
3102.1259765625,3089.148681640625
3140.324951171875,3097.4306640625
3150.33349609375,3141.523681640625
3158.400390625,3148.2197265625
3139.876708984375,3156.508544921875
3153.742919921875,3140.094970703125
3130.674072265625,3149.08544921875
3132.486328125,3128.412353515625
3123.166259765625,3127.837890625
3144.373779296875,3121.441650390625
3140.013671875,3137.060546875
3156.2119140625,3134.670166015625
3147.453125,3152.52587890625
3157.873046875,3147.65283203125
3185.44384765625,3154.240234375
3191.197021484375,3181.009033203125
3173.201416015625,3189.65234375
3188.0625,3169.413818359375
3192.427001953125,3185.50341796875
3195.91162109375,3186.083251953125
3182.803955078125,3190.623779296875
3207.13427734375,3181.856689453125
3212.444091796875,3205.661865234375
3217.956787109375,3210.353271484375
3212.6318359375,3216.3134765625
3203.03759765625,3212.209716796875
3197.5439453125,3207.5400390625
3218.1630859375,3198.081787109375
3222.416748046875,3215.183837890625
3176.46484375,3221.08154296875
3187.567138671875,3176.673095703125
3230.976318359375,3189.820068359375
3244.86474609375,3232.6708984375
3237.981689453125,3239.619384765625
3250.598876953125,3238.59375
3243.689453125,3251.245361328125
3247.6748046875,3240.63134765625
3249.781494140625,3248.1484375
3253.240478515625,3250.572265625
3273.0283203125,3253.537109375
3292.63818359375,3270.7275390625
3285.056884765625,3293.15625
3272.9287109375,3284.3955078125
3262.080810546875,3275.15576171875
3279.45654296875,3261.24560546875
3281.872802734375,3280.462158203125
3275.572998046875,3278.378173828125
3261.74951171875,3276.945556640625
3208.541259765625,3258.411865234375
3237.360107421875,3206.60888671875
3251.26171875,3235.118896484375
3246.451171875,3246.076171875
3268.4296875,3245.2861328125
3268.724365234375,3268.877685546875
3286.905517578125,3268.2412109375
3290.2255859375,3282.900146484375
3287.704833984375,3290.21630859375
3271.51171875,3283.730224609375
3331.522216796875,3274.408447265625
3362.6513671875,3326.203857421875
3365.22607421875,3357.580810546875
3363.626708984375,3356.03662109375
3360.810302734375,3369.86328125
3367.119384765625,3358.337890625
3379.5830078125,3363.948486328125
3384.31689453125,3380.192138671875
3385.388916015625,3381.595458984375
3365.497314453125,3384.807861328125
3365.24267578125,3362.134765625
3376.418701171875,3366.1220703125
3379.488037109375,3376.200927734375
3384.14697265625,3384.98681640625
3371.425537109375,3390.587646484375
3353.619140625,3373.45068359375
3362.858642578125,3353.881591796875
3356.844482421875,3363.006591796875
3365.995849609375,3358.465087890625
3357.812255859375,3371.54345703125
3352.529296875,3358.501220703125
3341.548583984375,3347.550537109375
3343.58251953125,3339.34326171875
3345.271728515625,3342.685302734375
3339.64208984375,3338.928955078125
3348.943115234375,3340.22265625
3374.378173828125,3347.787109375
3382.98779296875,3372.347412109375
3388.28369140625,3382.58837890625
3386.10009765625,3389.7392578125
3390.523193359375,3380.628662109375
3378.470458984375,3389.192138671875
3372.040771484375,3379.205810546875
3381.793701171875,3370.32958984375
3370.172119140625,3383.86083984375
3378.648193359375,3370.48876953125
3380.698974609375,3376.39794921875
3388.247802734375,3382.24267578125
3396.8974609375,3389.41650390625
3407.567138671875,3398.115478515625
3416.8125,3407.935302734375
3390.337158203125,3419.21826171875
3393.341796875,3395.87353515625
3395.91259765625,3392.1826171875
3383.3095703125,3386.906005859375
3371.744140625,3385.10888671875
3388.17431640625,3371.183349609375
3413.57470703125,3386.720703125
3415.460205078125,3415.8759765625
3427.794677734375,3413.28662109375
3432.673095703125,3429.504638671875
3447.835693359375,3433.166259765625
3429.548095703125,3447.7080078125
3402.5244140625,3433.385009765625
3399.250244140625,3401.32861328125
3382.907470703125,3399.475830078125
3392.398681640625,3377.962158203125
3410.497802734375,3387.31494140625
3430.46435546875,3413.165771484375
3351.918212890625,3431.427978515625
3353.82080078125,3356.15869140625
3322.229736328125,3354.90087890625
3333.656982421875,3321.352783203125
3337.862060546875,3335.880615234375
3317.1884765625,3335.60205078125
3317.617431640625,3322.271484375
3309.618408203125,3315.1083984375
3303.675048828125,3310.51708984375
3293.96484375,3300.217529296875
3272.05419921875,3294.507568359375
3289.992431640625,3268.130859375
3322.195556640625,3289.686279296875
3280.813720703125,3319.2314453125
3303.037353515625,3279.673583984375
3292.4384765625,3305.502197265625
3266.13720703125,3291.847412109375
3267.92236328125,3263.534912109375
3296.538330078125,3267.09912109375
3287.605712890625,3298.250732421875
3300.059326171875,3285.87158203125
3297.06298828125,3304.34521484375
3280.4609375,3296.299072265625
3306.12451171875,3283.81494140625
3275.78271484375,3310.97705078125
3296.384765625,3277.878662109375
3307.172119140625,3295.849853515625
3348.325927734375,3307.250244140625
3369.1083984375,3349.072265625
3385.710205078125,3369.31689453125
3391.75,3390.360595703125
3409.4794921875,3392.684814453125
3413.899658203125,3406.0390625
3421.834228515625,3417.94140625
3425.344970703125,3417.725830078125
3428.940673828125,3431.419189453125
3410.48828125,3432.2685546875
3436.593994140625,3416.1240234375
3444.67138671875,3438.1708984375
3474.75390625,3442.6904296875
3487.864013671875,3481.26806640625
3501.3623046875,3488.84228515625
3546.5048828125,3508.49072265625
3559.46533203125,3546.576416015625
3548.306884765625,3561.109130859375
3558.12890625,3555.06884765625
3523.000732421875,3559.17529296875
3488.009033203125,3527.974853515625
3480.83349609375,3482.352783203125
3446.97998046875,3478.32080078125
3462.080810546875,3448.1279296875
3487.4970703125,3455.217041015625
3370.652099609375,3492.502685546875
3309.259765625,3377.92236328125
3262.05029296875,3308.3310546875
3129.850830078125,3258.59033203125
3154.12548828125,3121.4951171875
3184.958740234375,3149.77880859375
3199.158935546875,3173.2724609375
3268.558837890625,3196.286376953125
3289.024169921875,3277.044189453125
3329.57373046875,3291.125
3292.06787109375,3324.77490234375
3259.407958984375,3285.73974609375
3273.7548828125,3260.60595703125
3254.5283203125,3267.899169921875
3256.92626953125,3251.0322265625
3289.641845703125,3256.816162109375
3271.668212890625,3288.14306640625
3288.405517578125,3271.4794921875
3307.16552734375,3280.733642578125
3326.69921875,3305.774169921875
3310.239013671875,3334.96142578125
3291.3818359375,3316.88916015625
3291.112060546875,3296.67578125
3269.882080078125,3292.378173828125
3279.251708984375,3274.5810546875
3290.639892578125,3284.158935546875
3280.9521484375,3293.121337890625
3263.480224609375,3282.791259765625
3152.7607421875,3260.819091796875
3133.7216796875,3146.240234375
3166.648681640625,3129.7744140625
3122.28955078125,3167.714599609375
3160.530517578125,3126.21337890625
3168.896484375,3160.56103515625
3163.178955078125,3170.460205078125
3136.63330078125,3150.959716796875
3131.111328125,3131.50244140625
3138.293701171875,3134.44189453125
3190.321533203125,3131.04541015625
3208.081787109375,3181.704833984375
3180.158203125,3200.7998046875
3159.052001953125,3169.509033203125
3110.64892578125,3158.265380859375
3066.796630859375,3110.06689453125
3091.398681640625,3059.719970703125
3117.3759765625,3088.626953125
3071.54248046875,3114.5302734375
3068.011962890625,3066.8974609375
3128.927001953125,3069.334716796875
3117.973876953125,3136.62158203125
3075.030029296875,3107.492431640625
3082.231689453125,3080.291259765625
3081.17724609375,3087.75439453125
3100.858642578125,3083.279541015625
3091.033447265625,3103.651611328125
3136.644775390625,3090.2880859375
3161.49755859375,3142.951171875
3159.150146484375,3158.158935546875
3174.41259765625,3160.427490234375
3163.26318359375,3174.050537109375
3174.031982421875,3171.284912109375
3192.118408203125,3172.81103515625
3169.565185546875,3193.457275390625
3154.282470703125,3169.562744140625
3193.303466796875,3155.939697265625
3213.84033203125,3193.598876953125
3214.349609375,3218.9501953125
3168.964111328125,3217.704345703125
3154.650634765625,3179.531005859375
3141.30322265625,3159.090087890625
3135.08203125,3136.694580078125
3120.46044921875,3138.40087890625
3041.443359375,3115.054443359375
3095.4736328125,3037.438720703125
3075.13720703125,3094.40185546875
3091.19091796875,3075.591796875
3114.20556640625,3090.689208984375
3115.180419921875,3114.6611328125
3109.498779296875,3116.67333984375
3067.147705078125,3111.6435546875
3052.783203125,3064.924560546875
3079.8017578125,3053.513671875
3049.79638671875,3080.944091796875
3044.15966796875,3040.644775390625
3021.90087890625,3047.668212890625
2907.822021484375,3021.725341796875
2915.7314453125,2915.14404296875
2875.809814453125,2912.196044921875
2889.76025390625,2871.60400390625
2859.33642578125,2887.61865234375
2844.508056640625,2861.45556640625
2813.177490234375,2843.31396484375
2786.896484375,2810.298583984375
2847.418212890625,2790.192138671875
2775.556884765625,2845.5830078125
2786.8876953125,2772.63623046875
2759.1259765625,2787.864990234375
2733.8818359375,2755.199951171875
2747.228515625,2728.15625
2815.109619140625,2749.633544921875
2827.625244140625,2815.677001953125
2777.77099609375,2818.93115234375
2837.65869140625,2775.298095703125
2831.18359375,2842.807373046875
2814.041748046875,2820.471435546875
2798.1259765625,2810.73486328125
2787.257080078125,2797.44775390625
2772.54541015625,2791.58935546875
2829.271240234375,2775.266845703125
2859.54248046875,2822.10498046875
2905.561767578125,2860.297119140625
2903.646728515625,2910.131103515625
2882.225341796875,2907.06494140625
2873.59375,2882.552734375
2869.049560546875,2874.723876953125
2876.40087890625,2878.771484375
2824.53369140625,2868.494140625
