test,prediction
3218.311767578125,3228.983642578125
3233.86572265625,3213.549560546875
3242.40625,3235.186279296875
3240.66455078125,3241.29541015625
3216.74560546875,3240.042236328125
3212.760009765625,3212.26025390625
3237.0244140625,3212.49658203125
3239.327880859375,3233.388671875
3241.759765625,3235.830322265625
3268.935302734375,3236.854736328125
3237.447021484375,3267.975830078125
3250.80810546875,3232.1767578125
3261.61083984375,3252.70166015625
3245.2197265625,3257.5283203125
3248.549560546875,3242.121826171875
3269.445068359375,3248.543212890625
3266.955078125,3265.814453125
3252.947998046875,3264.813232421875
3241.314453125,3251.410400390625
3210.23681640625,3238.43896484375
3222.51416015625,3206.00341796875
3270.305419921875,3218.09375
3281.004638671875,3268.0654296875
3286.615966796875,3276.517333984375
3269.392578125,3285.42578125
3288.9658203125,3268.512939453125
3273.830078125,3285.09326171875
3275.960205078125,3270.645751953125
3246.06689453125,3274.15673828125
3222.167236328125,3246.39453125
3196.71337890625,3216.98681640625
3170.686767578125,3193.76416015625
3172.100341796875,3164.949951171875
3173.151123046875,3166.917724609375
3129.53125,3168.7880859375
3134.5673828125,3130.50927734375
3140.84716796875,3132.50634765625
3152.18701171875,3135.219482421875
3154.658447265625,3147.52490234375
3143.712158203125,3151.583984375
3135.345947265625,3142.662841796875
3127.36865234375,3128.238525390625
3103.037841796875,3123.4326171875
3078.61279296875,3097.318359375
3080.52685546875,3070.457763671875
3052.784912109375,3075.438232421875
3061.500244140625,3048.542724609375
3083.51318359375,3059.186767578125
3090.22900390625,3083.543701171875
3112.964111328125,3085.81982421875
3104.44140625,3106.285400390625
3090.138916015625,3101.814697265625
3090.630859375,3091.805419921875
3075.675537109375,3086.04296875
3061.947021484375,3072.975830078125
3064.075927734375,3057.863525390625
3107.8310546875,3056.7197265625
3110.05859375,3111.481689453125
3117.177734375,3097.630615234375
3102.623291015625,3116.906494140625
3105.5400390625,3102.922119140625
3091.656005859375,3103.57861328125
3102.1259765625,3089.84619140625
3140.324951171875,3099.7041015625
3150.33349609375,3140.94384765625
3158.400390625,3147.262451171875
3139.876708984375,3154.4267578125
3153.742919921875,3137.924072265625
3130.674072265625,3149.93798828125
3132.486328125,3129.552734375
3123.166259765625,3125.839111328125
3144.373779296875,3120.188720703125
3140.013671875,3139.995361328125
3156.2119140625,3136.992919921875
3147.453125,3152.5830078125
3157.873046875,3146.56640625
3185.44384765625,3157.102783203125
3191.197021484375,3179.607666015625
3173.201416015625,3189.435791015625
3188.0625,3170.520751953125
3192.427001953125,3184.84033203125
3195.91162109375,3186.700927734375
3182.803955078125,3193.101806640625
3207.13427734375,3180.07958984375
3212.444091796875,3205.743896484375
3217.956787109375,3208.21142578125
3212.6318359375,3214.4404296875
3203.03759765625,3212.72509765625
3197.5439453125,3201.657470703125
3218.1630859375,3197.484375
3222.416748046875,3215.322998046875
3176.46484375,3219.764892578125
3187.567138671875,3178.75732421875
3230.976318359375,3190.639404296875
3244.86474609375,3224.05322265625
3237.981689453125,3237.17333984375
3250.598876953125,3237.653564453125
3243.689453125,3256.656005859375
3247.6748046875,3241.4921875
3249.781494140625,3244.5244140625
3253.240478515625,3246.46875
3273.0283203125,3252.17626953125
3292.63818359375,3272.638427734375
3285.056884765625,3291.317626953125
3272.9287109375,3285.6572265625
3262.080810546875,3276.19384765625
3279.45654296875,3261.588623046875
3281.872802734375,3281.4716796875
3275.572998046875,3283.778564453125
3261.74951171875,3272.860107421875
3208.541259765625,3260.8955078125
3237.360107421875,3208.54736328125
3251.26171875,3236.16162109375
3246.451171875,3249.8388671875
3268.4296875,3245.435302734375
3268.724365234375,3266.933837890625
3286.905517578125,3266.21044921875
3290.2255859375,3286.021240234375
3287.704833984375,3288.13232421875
3271.51171875,3286.33837890625
3331.522216796875,3270.483154296875
3362.6513671875,3331.07666015625
3365.22607421875,3359.764892578125
3363.626708984375,3360.035400390625
3360.810302734375,3362.918701171875
3367.119384765625,3356.993408203125
3379.5830078125,3364.638916015625
3384.31689453125,3378.281494140625
3385.388916015625,3382.094970703125
3365.497314453125,3384.0625
3365.24267578125,3366.68701171875
3376.418701171875,3371.932861328125
3379.488037109375,3373.177734375
3384.14697265625,3383.925537109375
3371.425537109375,3386.328369140625
3353.619140625,3372.97998046875
3362.858642578125,3351.412109375
3356.844482421875,3365.672119140625
3365.995849609375,3354.79345703125
3357.812255859375,3366.930908203125
3352.529296875,3359.47021484375
3341.548583984375,3346.8740234375
3343.58251953125,3341.435302734375
3345.271728515625,3344.01708984375
3339.64208984375,3342.362060546875
3348.943115234375,3337.75927734375
3374.378173828125,3346.79443359375
3382.98779296875,3369.851318359375
3388.28369140625,3378.0400390625
3386.10009765625,3387.37939453125
3390.523193359375,3381.893798828125
3378.470458984375,3391.0361328125
3372.040771484375,3380.37548828125
3381.793701171875,3373.494873046875
3370.172119140625,3380.981201171875
3378.648193359375,3372.89794921875
3380.698974609375,3380.568603515625
3388.247802734375,3381.08056640625
3396.8974609375,3387.868896484375
3407.567138671875,3394.06640625
3416.8125,3408.021484375
3390.337158203125,3420.099609375
3393.341796875,3391.14013671875
3395.91259765625,3396.16650390625
3383.3095703125,3391.543701171875
3371.744140625,3379.706787109375
3388.17431640625,3370.31640625
3413.57470703125,3385.4716796875
3415.460205078125,3416.62939453125
3427.794677734375,3412.6298828125
3432.673095703125,3433.311767578125
3447.835693359375,3435.070556640625
3429.548095703125,3447.52197265625
3402.5244140625,3425.76708984375
3399.250244140625,3401.867919921875
3382.907470703125,3401.58642578125
3392.398681640625,3379.15576171875
3410.497802734375,3390.471923828125
3430.46435546875,3408.093505859375
3351.918212890625,3429.560791015625
3353.82080078125,3353.37451171875
3322.229736328125,3352.769775390625
3333.656982421875,3322.8759765625
3337.862060546875,3330.36865234375
3317.1884765625,3338.99951171875
3317.617431640625,3317.75732421875
3309.618408203125,3313.7373046875
3303.675048828125,3310.644775390625
3293.96484375,3302.4873046875
3272.05419921875,3294.0048828125
3289.992431640625,3273.288818359375
3322.195556640625,3288.51220703125
3280.813720703125,3319.677001953125
3303.037353515625,3273.952392578125
3292.4384765625,3303.97119140625
3266.13720703125,3291.570068359375
3267.92236328125,3265.779541015625
3296.538330078125,3267.43701171875
3287.605712890625,3296.864990234375
3300.059326171875,3288.09912109375
3297.06298828125,3300.910888671875
3280.4609375,3298.509765625
3306.12451171875,3283.11376953125
3275.78271484375,3309.968017578125
3296.384765625,3273.76611328125
3307.172119140625,3295.048828125
3348.325927734375,3308.646240234375
3369.1083984375,3350.966552734375
3385.710205078125,3373.046630859375
3391.75,3388.722900390625
3409.4794921875,3393.063720703125
3413.899658203125,3412.391357421875
3421.834228515625,3413.09130859375
3425.344970703125,3420.19970703125
3428.940673828125,3429.255615234375
3410.48828125,3436.471923828125
3436.593994140625,3406.795654296875
3444.67138671875,3441.74169921875
3474.75390625,3449.72265625
3487.864013671875,3474.951904296875
3501.3623046875,3486.4951171875
3546.5048828125,3505.281982421875
3559.46533203125,3547.87060546875
3548.306884765625,3561.8837890625
3558.12890625,3548.745849609375
3523.000732421875,3558.296142578125
3488.009033203125,3523.669921875
3480.83349609375,3485.034912109375
3446.97998046875,3478.800048828125
3462.080810546875,3444.28125
3487.4970703125,3461.0869140625
3370.652099609375,3491.16357421875
3309.259765625,3360.7578125
3262.05029296875,3313.682373046875
3129.850830078125,3261.8974609375
3154.12548828125,3113.94775390625
3184.958740234375,3149.267822265625
3199.158935546875,3180.443115234375
3268.558837890625,3193.9111328125
3289.024169921875,3269.939697265625
3329.57373046875,3281.938232421875
3292.06787109375,3323.88037109375
3259.407958984375,3292.74560546875
3273.7548828125,3263.302734375
3254.5283203125,3273.2802734375
3256.92626953125,3252.6005859375
3289.641845703125,3257.061279296875
3271.668212890625,3287.4033203125
3288.405517578125,3268.01806640625
3307.16552734375,3292.787109375
3326.69921875,3307.92822265625
3310.239013671875,3332.277099609375
3291.3818359375,3311.45947265625
3291.112060546875,3295.45361328125
